ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Planning Inspectorate,ACCOMMODATION SERVICES,P J & R L HAY,"1,562.85"
Planning Inspectorate,ACCOMMODATION SERVICES,WELSH ASSEMBLY GOVERNMENT,"17,758.00"
Planning Inspectorate,ADMIN AND CLERICAL,HAYS OFFICE SUPPORT,"99,631.83"
Planning Inspectorate,ADMIN AND CLERICAL,ODGERS BERNDTSON,"60,879.24"
Planning Inspectorate,ADVERTISING,PENNA BARKERS,"29,375.34"
Planning Inspectorate,BUILDING MANAGEMENT,BRISTOL CITY COUNCIL,"104,556.89"
Planning Inspectorate,BUILDING MANAGEMENT,BRISTOL CITY COUNCIL,"459,025.42"
Planning Inspectorate,BUILDING MANAGEMENT,PHOENIX CARPET & FLOORING,"5,908.55"
Planning Inspectorate,BUILDING MANAGEMENT,PRUPIM LTD,"1,606,448.05"
Planning Inspectorate,BUILDING MANAGEMENT,TAYLOR WOODROW CONSTRUCTION,"857,629.33"
Planning Inspectorate,CHILD SOCIAL CARE,BUFFER BEAR LTD,"28,024.08"
Planning Inspectorate,CHILD SOCIAL CARE,BUSY BEES CHILDCARE,"2,675.85"
Planning Inspectorate,CLOTHING,GREENHAM,"34,385.13"
Planning Inspectorate,COACH,APPLEGATES COACHES,680.00
Planning Inspectorate,COACH,EAGLE COACHES,620.00
Planning Inspectorate,COACH,TURNERS COACHWAYS (BRISTOL) LTD,"1,415.00"
Planning Inspectorate,ELECTRICITY,EDF ENERGY,"132,777.39"
Planning Inspectorate,EVENTS ORGANISATION,AMEY COMMUNITY LTD,901.11
Planning Inspectorate,EVENTS ORGANISATION,AT BRISTOL LTD,600.00
Planning Inspectorate,EVENTS ORGANISATION,AVON GORGE HOTEL,"1,596.00"
Planning Inspectorate,EVENTS ORGANISATION,BALFOUR BEATTY WORKPLACE LTD,510.15
Planning Inspectorate,EVENTS ORGANISATION,BLANC BRASSERIES LTD,"2,152.17"
Planning Inspectorate,EVENTS ORGANISATION,BRISTOL CATHEDRAL,"1,306.50"
Planning Inspectorate,EVENTS ORGANISATION,BRUNTWOOD ESTATES ALPHA PORTFOLIO LIMITED,"1,631.71"
Planning Inspectorate,EVENTS ORGANISATION,CAPITA CONFERENCES,650.00
Planning Inspectorate,EVENTS ORGANISATION,DIGBY TROUT RESTAURANTS,"1,240.00"
Planning Inspectorate,EVENTS ORGANISATION,EEF LTD,"4,000.00"
Planning Inspectorate,EVENTS ORGANISATION,EMPIRE MUSEUM LTD,"3,312.39"
Planning Inspectorate,EVENTS ORGANISATION,HYPE AGENCY LTD,"19,915.00"
Planning Inspectorate,EVENTS ORGANISATION,KPMG,"1,461.00"
Planning Inspectorate,EVENTS ORGANISATION,LINDLEY CATERING LTD,"42,965.08"
Planning Inspectorate,EVENTS ORGANISATION,NOVOTEL CARDIFF CENTRE,"2,415.33"
Planning Inspectorate,EVENTS ORGANISATION,OXFORD BROOKES UNIVERSITY,"1,949.52"
Planning Inspectorate,EVENTS ORGANISATION,PARK PLAZA CARDIFF,536.98
Planning Inspectorate,EVENTS ORGANISATION,PENTA HOTEL,"11,238.09"
Planning Inspectorate,EVENTS ORGANISATION,SOUNDTRACK (AUDIO-VISUAL) LTD,"2,934.00"
Planning Inspectorate,EVENTS ORGANISATION,TCPA,"5,000.00"
Planning Inspectorate,EVENTS ORGANISATION,THE ARCHITECTURE CENTRE,"1,027.50"
Planning Inspectorate,EVENTS ORGANISATION,THE BRISTOL HOTEL,"7,380.48"
