"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Newspaper Society lunch,General discussion 
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Fraser Nelson (The Spectator),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Mayor of London,Housing issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,David Wright MP and Telford and Wrekin Council,Housing and local government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,British Retail Consortium,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Spikes Cavell,Local government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Tim Montgomerie (ConservativeHome),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Chief Rabbi,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Redrow plc,Housing and planning policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,David Lammy MP and Tottenham Hotspur plc,To discuss regeneration in North London
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Archbishop of Westminster,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Local Government Association,Introductory meeting 
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,Rachel Allen – Local Government  Challenge winner,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,"Tony Travers, LSE",Local government finance issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-11,British Land ,Launch of Community Charter
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Aug-11,Lord Young and representatives of Jewish Museum,To discuss the work of the Jewish Museum
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Aug-11,Greater London Authority,To discuss regeneration and growth in London
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,John Lewis Partnership ,Planning policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Dr Indarjit Singh,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Bishop of London,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Local authorities affected by August public disorder,To discuss recovery and response to August public disorder
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Local Government Association,Local government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Lady Richards ,To discuss the Sandhurst Leadership Project
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Karen Cooksley and Roger Fitton,Planning policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Local Government Association,Pension Discussion Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,British Chambers of Commerce,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-11,Prince’s Foundation for the Built Environment,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Nuffield College and  London School of Economics,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Evening Standard,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,British Youth Council,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Policy Exchange,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,School of Social Entrepreneurs,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,The Independent,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,"London Borough of Sutton, Councillors & Officials",Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Young Foundation ,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Safer Sutton Partnership,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,The U (formerly the Citizens’ University),Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Sutton Centre for the Voluntary Sector,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Sutton Volunteer Centre,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Sutton Centre for Voluntary Services,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,EcoLocal,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Sutton Centre for Independent Living and Learning,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Sutton Carers,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Young Advisors,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Royal Borough of Windsor and Maidenhead,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Chris Pincher MP and David Smith from Lichfield District Council,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,IPPR North,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Yorkshire Process Technology Ltd,Tour of bioincubator / Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Leeds Local Enterprise Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Major Developers Group,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Liverpool City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Liverpool City Region LEP Board Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Manchester City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Greater Manchester Combined Authority,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Greater Manchester LEP Board Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,West of England LEP Board Members’,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Paintworks,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Aardman,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Greater Birmingham & Solihull LEP Board Members’,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Pfizer,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Able UK,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Association of British Ports,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Nottingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Nottingham LEP Board Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Sheffield City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Sheffield LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Leeds City Council,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Leeds LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Newcastle City Council,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,North East LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Birmingham and Solihull LEP Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,LGA District Councillors Network,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Trust,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Royal Society for the Protection of Birds,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Wildlife Trust,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,WWF-UK,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Friends of the Earth,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Birmingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Core Cities Group,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Manchester City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Greater Manchester Business Leaders,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Greater Manchester LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Cargill Trafford Park,Cities Policy/Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,MediaCity UK,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Housing Federation,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Liverpool City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Liverpool Business Leaders Group,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Daresbury Science and Innovation Centre,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,British Property Federation,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Royal Town and Planning Institute,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Countryside Alliance,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Trust,Planning policy
