Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Supplier Type,Expenditure Type
DCLG,The Planning Inspectorate,23/12/2011,Systems Delivery,Information Services,DETICA,M0006259,"3,240.00",Large,Running cost
DCLG,The Planning Inspectorate,23/12/2011,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,22234,"1,744.20",Small,Running cost
DCLG,The Planning Inspectorate,23/12/2011,Post & Courier,Estates,CITY LINK BRISTOL,60862151,"1,597.47",Large,Running cost
DCLG,The Planning Inspectorate,23/12/2011,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,22234,"1,410.76",Small,Running cost
DCLG,The Planning Inspectorate,23/12/2011,Office Consumables,Admin Support,XMA,P981134,"1,025.28",Undefined,Running cost
DCLG,The Planning Inspectorate,23/12/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-23964317,650.30,Large,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,STAR PLANNING & DEVELOPMENT LTD,637,"7,996.80",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,ELIZABETH LAWRENCE LTD,39,"4,166.40",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,ARROWSMITH ASSOCIATES,1471,"3,427.20",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,S P PLANNING,PINS 1112,"2,856.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,CATALYS CONSULTING,CC11/7,"2,284.80",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,H J L PLANNING,PI/050/DECEMBER(1),"2,100.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,CHRIS THOMAS PLANNING,54,"1,904.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,GRAHAM M GARNHAM,64,"1,904.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,C G DOWN,11058,"1,680.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,ELIZABETH LAWRENCE LTD,40,"1,680.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,RICHARD MOON,201112.Insp,"1,400.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,SCOTTS PLANNING SERVICES,9-11 (I),"1,120.00",Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,MIKE CROFT,PINS073,889.00,Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,STAR PLANNING & DEVELOPMENT LTD,637,797.72,Micro,Running cost
DCLG,The Planning Inspectorate,28/12/2011,Specialist Contractors,NSI Fees,ARROWSMITH ASSOCIATES,1471,688.92,Micro,Running cost
DCLG,The Planning Inspectorate,30/12/2011,Post & Courier,Director Wales,ROYAL MAIL,1106725308,"3,000.00",Large,Running cost
DCLG,The Planning Inspectorate,30/12/2011,Post & Courier,Estates,ROYAL MAIL,9036870211,"1,585.55",Large,Running cost
DCLG,The Planning Inspectorate,03/01/2012,Vehicle Hire,Admin Support,ENTERPRISE RENT A CAR LTD,514515,"7,512.55",Large,Running cost
DCLG,The Planning Inspectorate,03/01/2012,Specialist Contractors,Human Resources,CAPITA RESOURCING,WN70104837,"7,181.42",Large,Running cost
DCLG,The Planning Inspectorate,03/01/2012,Systems Delivery,Human Resources,LOGICA IT SERVICES UK LTD,HRS125532,"4,160.22",Large,Running cost
DCLG,The Planning Inspectorate,03/01/2012,Post & Courier,Estates,CITY LINK BRISTOL,60871651,"1,726.12",Large,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Systems Delivery,IS Projects,DCLG,1800016558,"15,825.63",Public Sector,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Maintenance & Support,Information Services,CSA WAVERLY,IN655963,"6,869.57",Medium,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,ARGYLE PLANNING CONSUKLTANCY LTD,2011/PINS002,"2,576.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,543,"2,184.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,Tree Preservation Orders,A C S CONSULTING,1768,"2,143.68",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,EGGLETON PLANNING & DESIGN,199,"2,016.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,EGGLETON PLANNING & DESIGN,200,"1,948.80",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,EGGLETON PLANNING & DESIGN,198,"1,848.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,MUSTON PLANNING,486,"1,848.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,NSI Fees,JACQUES PARTNERSHIP,1822,"1,176.00",Micro,Running cost
DCLG,The Planning Inspectorate,04/01/2012,Specialist Contractors,Tree Preservation Orders,A C S CONSULTING,1767,887.04,Micro,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Electricity,Estates,EDF ENERGY,112,"11,093.72",Large,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Specialist Contractors,NSI Fees,ANDREW DALE,PINS024,"5,691.00",Micro,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,79028/CR Note 3338,"2,543.16",Medium,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Specialist Contractors,NSI Fees,DGW PLANNING,90052,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Specialist Contractors,NSI Fees,IMCH PLANNING & DEVELOPMENT CONSULTANCY,01/01,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24000415,650.30,Large,Running cost
DCLG,The Planning Inspectorate,05/01/2012,Specialist Contractors,NSI Fees,ANDREW DALE,PINS024,609.40,Micro,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Legal Services,Quality Assurance Unit,TREASURY SOLICITOR (FINANCE BR,115498,"69,611.19",Public Sector,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Specialist Contractors,NSI Fees,FITZSIMON PLANNING & DEVELOPMENT,PINS/12/001,"2,016.00",Micro,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Specialist Contractors,NSI Fees,FITZSIMON PLANNING & DEVELOPMENT,PINS/12/002,"1,680.00",Micro,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Records Storage,Admin Support,IRON MOUNTAIN,Y142135-Y142139,"1,274.83",Large,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Specialist Contractors,NSI Fees,CAMBRIDGE PLANNING SERVICES,009,"1,092.00",Micro,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Specialist Contractors,NSI Fees,BARRETT CONSERVATION & PLANNING,PINS/RMB/111107,714.00,Micro,Running cost
DCLG,The Planning Inspectorate,06/01/2012,Specialist Contractors,NSI Fees,BARRETT CONSERVATION & PLANNING,PINS/RMB/111114,714.00,Micro,Running cost
DCLG,The Planning Inspectorate,09/01/2012,Legal Services,Director Wales,TREASURY SOLICITOR (FINANCE BR,115366,"2,232.00",Public Sector,Running cost
DCLG,The Planning Inspectorate,09/01/2012,Specialist Contractors,Tree Preservation Orders,BRIAN G CRANE & ASSOCIATES,642,"1,774.08",Micro,Running cost
DCLG,The Planning Inspectorate,09/01/2012,Specialist Contractors,Tree Preservation Orders,KEITH RUSHFORTH,3155,"1,404.48",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,STUART HALL,PINS 12/11,"2,940.00",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,L J E PLANNING LIMITED,2012/201,"2,856.00",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,CLIVE TOKLEY,73/2011,"2,800.00",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,LESLIE G COOP,PINS 39,"2,800.00",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,JOHN G MILLARD,PINS/1201,"2,464.00",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,D ROGER DYER,649,"2,419.20",Micro,Running cost
DCLG,The Planning Inspectorate,10/01/2012,Specialist Contractors,NSI Fees,DC PLANNING LTD,11/952,"2,016.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,HIGH ASSOCIATES,1/2012,"3,662.40",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,CHRISTOPHER GETHIN,PINS12-101,"3,124.80",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,JOHN L B GREENWOOD,PINS 11-12,"1,960.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,CHARISMA SPATIAL PLANNING,11037,"1,848.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,GARY DEANE ASSOCIATES,100112,"1,680.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,MARTIN CHAMPION,256,"1,666.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,Tree Preservation Orders,B J UNWIN FORESTRY CONSULTANCY,3822,"1,626.24",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,DC PLANNING LTD,12/969,"1,512.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS,12/01,"1,344.00",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,NJL SOLUTIONS LTD,111106,"1,310.40",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Commercial Services,Business Planning & Finance,BARCLAYCARD BUSINESS,471532 06490 57916,"1,192.23",Large,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,NJL SOLUTIONS LTD,111107,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,NJL SOLUTIONS LTD,111105,856.80,Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,NJL SOLUTIONS LTD,111104,856.80,Micro,Running cost
DCLG,The Planning Inspectorate,11/01/2012,Specialist Contractors,NSI Fees,MATTOCKS,PINS 4,854.00,Micro,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Specialist Contractors,NSI Fees,CARBROOK ASSOCIATES,16/11/PINS,"2,632.00",Micro,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Post & Courier,Estates,ROYAL MAIL,9037040192,"2,003.61",Large,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Specialist Contractors,NSI Fees,MANSELL JAGGER,45,"1,400.00",Micro,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Specialist Contractors,NSI Fees,MANSELL JAGGER,46,"1,400.00",Micro,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Specialist Contractors,NSI Fees,GRAHAM SNOWDON,54,560.00,Micro,Running cost
DCLG,The Planning Inspectorate,12/01/2012,Post & Courier,Estates,ROYAL MAIL,9037040192,528.61,Large,Running cost
