Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",31-Jan-12,HSBC,Private view of the British Museum exhibition ‘Hajj - journey to the heart of Islam’
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",02-Feb,Tony Gallagher (Telegraph),Breakfast
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",01-Mar-12,Marches Local Enterprise Partnership ,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",06-Mar-12,EEF The manufacturer’s organisation,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",13-Mar-12,The Sun,Lunch
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",Nil Return,Nil Return,Nil Return
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",21-Feb-12,Policy Exchange,Lunch
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",29-Feb-12,London Evening Standard  (Evgeny Lebedev),Lunch
"Andrew Stunell MP, Parliamentary Under-Secretary of State",29-Feb-12,Community Security Trust,Dinner
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,,
