"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-12,Surrey County Council,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",,,
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-12,Young Advisors Charity,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-12,Christian Muslim Forum,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-12,Fraser Nelson (The Spectator),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-12,Gerald Howarth MP and Rushmoor Council,To discuss issues related to Gurkha community
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-12,Muslim Leadership Panel,Integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-12,Local Government Association,Local Government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-12,Rt. Hon. Hazel Blears MP and Salford City Council,Troubled Families issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Hereford Enterprise Zone,Economic development issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Louise Mensch MP and representatives from Corby,Local Government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,"London Boroughs of Hammersmith and Fulham, Westminster and Kensington and Chelsea",Business rates reform
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Nadine Dorries MP and Central Bedfordshire Council,Issues affecting Mid - Bedfordshire
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,NSPCC,Troubled Families issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,"Martin Vickers MP, Lord Haskins, Austin Mitchell MP, and representatives of Pan Humber Local Economic Partnership",Economic development issues in North East Lincolnshire
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,"Tim Montgomerie, Conservative Home",General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Local Government Association,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Local Government Association and Yorkshire Council Leaders,Local Government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-12,Local Government Association,Planning Policy issues
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Design Council,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Rother District Council,Localism
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Local Government Information Unit (LGiU),Decentralisation
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Thame Town Council,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Birmingham Chamber of Commerce,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,"Centre for Cities Roundtable. (Organisations included; Universities UK, British Land, London Stock Exchange,",Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",,"Warwick University, Creative Space Management, British Chamber of Commerce, European Institute for Urban Affairs, Liverpool John Moores University and Joseph Rowntree Foundation)",
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-12,Newcastle Council,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Mayor of Doncaster,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,"Centre for Cities Roundtable. (organisations included South Downs National Park, Transport Times, Igloo Regeneration, Westminster City Council, Transport for Greater Manchester, HBJ Gateley, British Land Cambridge County Council, LSE).",Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Social Business International,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,"Wildlife and Countryside Link (Organisations represented were Campaign to Protect Rural England, Link, RSPB,The Wildlife Trusts, Woodland Trust, World Wildlife Fund.)",Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Manchester City Council  and Manchester Local Enterprise Partnership (Local Economic Partnership) board,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Sheffield Council and Sheffield Local Economic Partnershipboard,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Nottingham Council and Nottingham Local Economic Partnershipboard,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,National Trust (2 separate meetings),Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,National Trust (2 separate meetings),Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,"CBI, Home Builders Federation.",Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",,and British Chamber of Commerce ,
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,English Heritage,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Sheffield Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,"Royal Town Planning Institute, Planning Officers Society, British Property Federation, National Housing Federation and Local Government Association",Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Leeds Council and Leeds Local Economic Partnershipboard,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,North East Lincolnshire Council,Localism policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Grimsby Chamber of Commerce,Localism policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Feb-12,Birmingham Council and Birmingham Local Economic Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Centre for Social Justice,Localism Act
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Lord Matthew Taylor,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Business for Cities,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Leeds City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Manchester City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,English Heritage,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Bristol Council and West of England Local Economic Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Local Government Association,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Wakefield Council,Cities policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Gary Streeter MP and councillors and Pillar Land Securities,Meeting to discuss various housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Big Issue (John Bird - proprietor),Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Tiger Aspect Productions and Empty Homes Agency with Andrew Stunnel,Meeting on Empty Homes
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",,,
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Mark Simmonds MP and Boston Borough Council,Meeting to discuss Local Government Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Joan Walley MP Staffordshire Housing Association.,Meeting to discuss West Midlands kick start programme and private sector renewal
