Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",14-May-12,Evening Standard,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",15-May,Oxford Centre for Islamic Studies,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",21-May-12,Sunday Times,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",18-Jun-12,Lord Mayor of Westminster,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",19-Jun-12,Evgeny Lebedev (Independent Print Ltd),Lunch
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",Nil Return,Nil Return,Nil Return
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",14-Jun-12,BBC Question Time ,Dinner
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",26-Jun-12,"Major housebuilders (HBF, Barratt Group, Bovis Group, Crest Nicholson, Croudace, Fairgrove, Fairview New Homes, Galliford Try, McCarthy & Stone, Miller Group, Morris Homes, Peak Quality Homes, Persimmon Homes, Redrow Homes, Telford Homes, William Lacey Group)",Dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",10-May-12,Construction Products Association,Lunch
"Andrew Stunell MP, Parliamentary Under-Secretary of State",12-Jun-12,Building Services Research and Information Association,Lunch
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,,
