"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Apr-12,Great Yarmouth Lowestoft Enterprise Zone and Seajacks,Economic development issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Apr-12,Westminster City Council,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Apr-12,Lord Deben and Sancroft International Ltd,Housing policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,MKC Trust Roko Cancer Campaign,To discuss the work of the campaign
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Pop Connection,To discuss Pop Connection’s work in local communities
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Crossrail,Economic development and infrastructure issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Fraser Nelson (Spectator),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Environmental Services Association,To discuss weekly waste collections.
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Business in the Community,To discuss Business in the Community’s schools engagement programme
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,New Schools Network,Schools policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-12,Tim Montgomerie (Conservative Home),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-12,Knighton White,To discuss the industrial cadets scheme
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-12,Peter Martindale,Community issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-12,ResPublica,Local growth and local government finance issues (breakfast provided)
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-12,Essex County Council,Local government issues
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-12,North East Chamber of Commerce,Mayors Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-12,Newcastle City Council,Cities Policy
