Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,East Staffordshire Borough Council,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,Cleone Foods,Business engagement in regeneration
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,The BAC O'Connor Centre and Trent and Dove Housing,Affordable housing
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,Local Government Association,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,Forest Heath District Council and Matthew Hancock MP,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jan-11,Cllr Mike Whitby,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Kettering Borough Council,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Faith Matters,Integration
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Westfields,Planning and business
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Blackpool Council,Local Government finance
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Reading Borough Council,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Westminster Council,Community Budgets
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Feb-11,Sport for England and Kate Hoey MP,Planning
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,Campaign for Weekly Collections,Refuse Collection
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,Midlands Business Representatives,Local Enterprise Partnerships
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,The Royal Institution of Chartered Surveyors  (RICS),Planning System
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,Mark Garnier MP and Wyre Forest Council,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,British Chamber of Commerce,"Localism, Economic Growth, Local Enterprise Partnerships"
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,Cllr Richard Kemp,Local Government Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,"The Big Lunch, The Eden Project",Big Society
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,CBI,Roundtable Discussion on Local Government matters
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Mar-11,"Gerald Howarth MP, and Rushmoor Borough Council",Local Government finance
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-11,British Chambers of Commerce,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-11,British Property Federation,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jan-11,Civic Voice  ,Localism Bill
