Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG134,Executive Officer (EO),22279,31225,Diary Manager,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG134,Higher Executive Officer (HEO),26058,39513,Private Secretary,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Administrative Officer (AO),19335,25847,Diary Manager,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Executive Officer (EO),22279,31225,Finance Support Officer,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Grade 6 (G6),50203,70375,Senior Finance Manager,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Grade 7 (G7),40852,57110,Senior Finance Manager,2,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Grade 7 (G7),40852,57110,Senior Information Manager,0.69,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Higher Executive Officer (HEO),26058,39513,Knowledge Information Management Manager,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Senior Executive Officer (SEO),32311,45985,Finance Officer,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG144,Senior Executive Officer (SEO),32311,45985,Knowledge Information Management Manager,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,10.51,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,HR Support Officer,6.36,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,Not In Post,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,Not In Post,1,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,Not In Post,5.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 6 (G6),50203,70375,Not In Post,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 6 (G6),50203,70375,Senior HR Manager,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 7 (G7),40852,57110,Not In Post,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 7 (G7),40852,57110,Not In Post,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 7 (G7),40852,57110,Not In Post,11.83,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Grade 7 (G7),40852,57110,Senior HR Manager,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,HR Officer,8.92,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,Not In Post,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,Not In Post,1,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,Not In Post,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,Not In Post,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Senior Executive Officer (SEO),32311,45985,HR Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Senior Executive Officer (SEO),32311,45985,Not In Post,1,Human Resources
