Parent Department,Organisation,,Reference Number,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),2.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,HEO (D),27000,35000,Civil Service Fast Streamer,2.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),4.00,
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG118,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),0.75,
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG083,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.89,
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG083,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.68,
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG083,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),5.75,
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG083,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),7.00,
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG083,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.00,
N/A,Department for Communities and Local Government,"People, Capability and Change",CLG024,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00,
N/A,Department for Communities and Local Government,"People, Capability and Change",CLG024,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),3.00,
N/A,Department for Communities and Local Government,"People, Capability and Change",CLG024,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),4.60,
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),6.78
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),12.59
N/A,Department for Communities and Local Government,Housing and Planning,CLG093,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),8.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),9.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG068,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG064,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG064,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Communities,CLG064,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG064,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
