,,,,,,,,,,,,
RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,
Provisional data for the 2011/12 obligation year to date,,,,,,,,,,,,
,,,,,,,,,,,,
"Provisional Data
The information contained in this report is provisional and based on unverified claims made by suppliers. It should be viewed as indicative rather than definitive. Verified data is published annually and can be found on the the DfT website, http://www.dft.gov.uk/statistics/series/biofuels/.  Those using this document should be aware that while in the majority of cases there is little discrepancy between a company’s provisional and verified data, in some instances the difference has been significant. For further information on provisional data please see the notes at the end of this report.",,,,,,,,,,,,
,,,,,,,,,,,,
Executive Summary,,,,,,,,,,,,
,,,,,,,,,,,,
This report covers the supply of biofuels under the Renewable Transport Fuel Obligation¹ from 15 April 2011 to 14 December 2011.  The headline figures2 are:,,,,,,,,,,,,
5.4 billion litres of biofuel have been supplied under the RTFO in the first 44 months.,,,,,,,,,,,,
"In the first eight months of the 2011/12 obligation period, 983 million litres of biofuel have been supplied, which is approximately 3.2% of total road transport fuel reported to the RTFO Administrator against an annual obligation percentage (""specified amount"") of 4.0%3. More biodiesel (56%) has been supplied than bioethanol (44%).  There has also been a small volume of biogas declared to us.",,,,,,,,,,,,
The feedstock is known for 98% of fuel supplied. Both the feedstock and country of origin are known for 94%.,,,,,,,,,,,,
"The largest proportion of biofuel came from the feedstock, used cooking oil (489m litres, 50% of total biofuel supplied).  The most widely reported feedstock from a single country of origin for biodiesel was used cooking oil from the Netherlands (153m litres, 28% of biodiesel supplied). The most widely reported feedstock and country of bioethanol was non-European Community corn from the United States of America (336m litres, 77% of bioethanol supplied).",,,,,,,,,,,,
"Over the period, 53%4 of biofuels met an environmental standard5.",,,,,,,,,,,,
The majority of feedstock has been imported; 12% of the biofuel was reported as coming from UK feedstocks.,,,,,,,,,,,,
93% of the fuel reported as coming from UK feedstocks met environmental sustainability standards.,,,,,,,,,,,,
Greenhouse gas savings of 62% were achieved.  This figure may not include all emissions from direct land use change and excludes the emissions from indirect land-use changes considered in the 'Gallagher Review'. ,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
"1. The RTFO applies to road transport across the whole of the UK. Refiners, importers and any others who supply more than 450,000 litres of relevant hydrocarbon oil for road transport annually to the UK market are obligated by it. ",,,,,,,,,,,,,,,,
"2. Data come from monthly reports submitted by fuel suppliers to the RTFO Administrator. The RTFO Administrator performs checks on the data, which for suppliers of over 450,000 litres of biofuel, are also subject to an annual verification process by independent auditors. The RTFO Administrator will publish a final, fully verified dataset after the end of each obligation year.",,,,,,,,,,,,,,,,
The RTFO Administrator publishes reports that identify the carbon and sustainability performance of individual companies.  This is the first report on the progress in year four and reports on the period to which the pre-RED guidance applies.  Archive reports are available on our website at: http://dft.gov.uk/pgr/sustainable/biofuels/data/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3. Obligated suppliers can meet their volume obligation by surrendering the appropriate number of RTFCs to the RTFO Administrator and/or by paying into a buy-out fund. The RTFCs can be obtained by supplying their own biofuels or by purchasing RTFCs from other biofuel suppliers. A quarter of their obligation can be met by surplus RTFCs from the previous obligation year.,,,,,,,,,,,,,,,,
"4. Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers in some reports, certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the overall RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.  ",,,,,,,,,,,,,,,,
"5. The ability of suppliers to source certifiably sustainable fuels is currently limited by the lack of operational sustainability standards for several feedstock/country combinations. Certified sustainable feedstock is expected to become increasingly available over time, as feedstock standards develop in response to the demand created by the RTFO and growing concern about the sustainability of agricultural commodities more widely. Suppliers can arrange their own audits against the RTFO Meta-Standard. There is more than enough RSPO certified palm oil to meet the entire UK demand for palm oil biodiesel feedstock.",,,,,,,,,,,,,,,,
