Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1012831,3091.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Universities and Skills Group - Further Education & Skills Investment,SKILLS FUNDING AGENCY,1012835,348488000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE ROYAL INSTITUTION OF GREAT BRITAIN,1012902,3941.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1012970,683.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1012972,727.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1012974,844.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1013096,13510.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",TIM CLARK,1013113,4882.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,1013117,3580000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,MET OFFICE,1013119,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Economic Consultancy & Research,Fair Markets Group Summary - Consumer and Competition Policy,YOUGOV PLC,1013129,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Economic Consultancy & Research,Fair Markets Group Summary - Consumer and Competition Policy,YOUGOV PLC,1013129,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT UK LTD,1013136,752.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1013141,13153.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Secondees (not paid directly),Business Group - Advanced Manufacturing Industries,INDEPENDENT POWER CORPORATION plc,1013144,2937.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,18282.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,21919.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,35369.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,59739.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,68480.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,335485.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,606225.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,4489895.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,PPM (Project & Programme Management) Training,Finance & Commercial Group - Information and Workplace Strategies,AIMS4CHANGE LTD,1013147,1195
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Reprographic Equipment,Fair Markets Group Summary - ECO,SIEMENS FINANCIAL SERVICES LTD,1013148,1130
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Technical Advice,Shareholder Executive - Shareholder Executive,RAYMOND PYLE,1013149,674.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Technical Advice,Shareholder Executive - Shareholder Executive,RAYMOND PYLE,1013149,7589.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Occupational Health Service,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",MEDIGOLD HEALTH CONSULTANCY LTD,1013150,1800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,DTZ DEBENHAM TIE LEUNG,1013154,14365
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Maintenance (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIBRE ENVIRONMENTAL SERVICES LTD,1013156,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1013157,4130
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Secondees (not paid directly),Shareholder Executive - Shareholder Executive,CREDIT SUISSE SECURITIES (EUROPE) LTD,1013160,8621.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Innovation",THE TECHNOLOGY STRATEGY BOARD,1013161,21000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1013164,1983.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Consultancy Advice Provided From Third Parties,Fair Markets Group Summary - Employment Relations,HMRC,1013167,22866.82
