Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/04/2012,Public Relations & Marketing Advice & Services,Business & Skills Group - Further Education & Skills Investment,FOLIO CREATIVE COMMUNICATION,1030820,-6320.00,  - Public Relations & Marketing Advice & Services,RG9 2AA,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2012,Programme and Projects Service,Business & Skills Group - RDA Transition and Closures,FUJITSU SERVICES LTD,1043245,41810.00,  - Programme and Projects Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2012,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,SPECIALIST COMPUTER CENTRES PLC,1044081,-5583.88,  - ICT Maintenance & Upkeep,B11 2LE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2012,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,CABLE & WIRELESS UK,1044150,-35609.86,  - ICT Infrastructure Specific Service,MK3 5JP,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1047790,9370.10,  - Standard Desktop Plus Services,RG14 1LA,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1047790,474.10,  - Standard Desktop Plus Services,RG14 1LA,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Goods Received Not Invoiced Accruals (SYSTEM),Corporate Payments - ,VODAFONE LTD,1047790,91.37,  - Goods Received Not Invoiced Accruals (SYSTEM),RG14 1LA,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2012,Programme and Projects Service,Business & Skills Group - RDA Transition and Closures,FUJITSU SERVICES LTD,1047922,-28011.00,  - Programme and Projects Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2012,Programme and Projects Service,Business & Skills Group - RDA Transition and Closures,FUJITSU SERVICES LTD,1047922,-28011.00,  - Programme and Projects Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Other Overseas Travel & Subsistence (Programme),Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1048665,71.54,  - Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1048667,22.97,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1048668,76.11,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1048672,-2182.73,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Air Fares Overseas,"Legal, People & Communications Group - Communications Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1048732,56.96,  - Air Fares Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Leadership & People Management Training,"Legal, People & Communications Group - Human Resources",THE WHITEHALL AND INDUSTRY GROUP,1048773,4740.00,  - Leadership & People Management Training,SW1H 9EX,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1048820,1047.78,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1048821,125.73,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1048823,1341.16,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1048824,83.82,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2012,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1049362,378.25,  - Hotels Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1049424,4715.99,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1049425,460.99,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - Human Resources",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1050016,1493.31,  - Season Ticket and Bicycle Loans,HP2 4XN,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Grants - Current - Other,Knowledge & Innovation Group - Innovation,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1050113,9158000.00,  - Grants - Current - Other,HP2 4XN,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2012,Grants - Current - Other,Knowledge & Innovation Group - Innovation,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1050113,132000.00,  - Grants - Current - Other,HP2 4XN,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/04/2012,Recoveries Account,Corporate Payments - ,HM COURTS & TRIBUNALS SERVICE (HMCTS),1050654,90.00,  - Recoveries Account,SW19 3RD,GOV,,,Programme
