Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/03/2012,Criminal Law and Prosecution Work,"Legal, People & Communications Group-Legal Services",RICHARD FOSTER,1030451,201.85, -Criminal Law and Prosecution Work,SW1H 0ET,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/03/2012,Standard Desktop Services (PFI),Finance & Commercial Group-Commercial Directorate,FUJITSU SERVICES LTD,1043146,1427.52, -Standard Desktop Services (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Computer Equipment - Clearing,Finance & Commercial Group-Commercial Directorate,QUESTMARK,1043397,5400.00, -Computer Equipment - Clearing,NG10 4LS,,,,Capital
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group-Communications Directorate",ADECCO UK LTD,1043520,486.25, -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2012,ICT Maintenance & Upkeep,Finance & Commercial Group-Commercial Directorate,"KCOM GROUP PLC T/A KCOM, ECLIPSE INTERNET",1043982,-24485.00, -ICT Maintenance & Upkeep,HU1 3RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2012,Cash Expenditure during the Year - Other Programme Provisions,Finance & Commercial Group-Finance Group,DAN DANIELI,1044552,26435.00, -Cash Expenditure during the Year - Other Programme Provisions,CA91604,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/03/2012,Library Services,"Legal, People & Communications Group-Legal Services",JORDAN PUBLISHING LTD,1044594,190.00, -Library Services,BS1 6JS,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2012,Criminal Law and Prosecution Work,"Legal, People & Communications Group-Legal Services",ABIGAIL WHITE,1044757,120.00, -Criminal Law and Prosecution Work,SW1H 0ET,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group-Communications Directorate",ADECCO UK LTD,1045264,652.81, -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group-Advanced Manufacturing Services,COI COMMUNICATIONS,1045370,25470.00, -Hire of Agency Staff (Clerical/Secretariat/Other),SE1 7DU,PCTF,,,Administration
