Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/02/2012,Cash Expenditure during the Year - Other Programme Provisions,Business & Skills Group - Advanced Manufacturing Services,THOMPSONS SOLICITORS,992999,122.22, -Cash Expenditure during the Year - Other Programme Provisions,WC1B 3LW,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/02/2012,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal Services",RICHARD FOSTER,1030451,201.85, -Criminal Law and Prosecution Work,SW1H 0ET,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/02/2012,Mobile Phones,Market Frameworks - Consumer and Competition Policy,VODAFONE LTD,1038124,11.08, -Mobile Phones,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2012,Telecommunications,"Legal, People & Communications Group - Legal Services",DAISY COMMUNICATIONS LTD,1040123,35.99, -Telecommunications,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2012,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1040782,50013.50, -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/02/2012,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1040785,11743.60, -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/02/2012,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1040843,3803.00, -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/02/2012,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1040843,1.00, -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/02/2012,Other IT Costs,"Legal, People & Communications Group - Innovation Capability Team",DAISY COMMUNICATIONS LTD,1042584,107.65, -Other IT Costs,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/02/2012,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1042912,3349.07, -Standard Desktop Plus Services,RG14 5FF,,,,Administration
