Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1020370,594.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1020492,59.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,ADDISON LEE plc,1020980,218.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1021766,1148.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1021768,1103.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1022107,882.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Entertaining UK,Knowledge and Innovation Group - Government Office For Science,THE TRAVELLERS CLUB,1022667,38.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Entertaining UK,Knowledge and Innovation Group - Government Office For Science,THE TRAVELLERS CLUB,1022667,645.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023106,234.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023543,781.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023547,166.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1020134,139.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1020136,139.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1020142,166.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020143,76.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020145,145.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020146,145.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020156,223.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1020160,144.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1022620,221.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1022622,119.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1022627,150.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1022628,141.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022629,182.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022630,182.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022631,173.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022634,165.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022636,150.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022637,281.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022638,480.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022640,130.45
