Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",21/01/2011,Enforcement,Business & Skills Group - Advanced Manufacturing Industries,(SEPA) SCOTTISH ENVIRONMENT PROTECTION AGENCY,1016913,66000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Communications & Marketing Training,"Legal, People & Communications Group - Communications Directorate",21ST CENTURY NEW MEDIA LTD,1017584,1615
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Legal Costs,Office of Manpower Economics - Office of Manpower Economics,23 ESSEX STREET,1016573,2867.5
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1016132,4166.66
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1017781,372.4
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1017788,4166.66
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Catering Services,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,1062.2
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Conference Facilities,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,2954
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Conference Facilities,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,303.74
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",07/01/2011,Other Staff Welfare Costs,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ABILITYNET,1015683,3439.24
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",20/01/2011,Leadership & People Management Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ACAS,1016767,160
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",04/01/2011,Non-Grant in Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Employment Relations,ACAS,1015139,4000000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1015526,900
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1015528,900
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Business Continuity Planning Service,Finance & Commercial Group - Information and Workplace Strategies,ADAM PHONES LTD,1016974,208.8
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Media and Design Services,Knowledge and Innovation Group - Learners,ADDISON CORPORATE MARKETING LTD,1017043,17729.5
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",07/01/2011,Taxis,"Legal, People & Communications Group - Communications Directorate",ADDISON LEE plc,1015671,122.4
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,15.75
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,146.68
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,23.7
