Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/11/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1011159,"4,166.66"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/11/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1012564,"4,166.66"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Other Staff Welfare Costs,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ABILITYNET,1010586,605
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/11/2010,Other Staff Welfare Costs,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ABILITYNET,1012923,"3,677.80"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,1010347,"3,300,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/11/2010,ICT Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ACKNOWLEDGE LTD,1010504,615
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1010503,900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,ICT Training,Finance & Commercial Group - Finance Group,ACKNOWLEDGE LTD,1012224,950
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1011580,502.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ADECCO UK LTD,1012205,506.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1010386,525.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012722,534.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1011559,555.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1010432,559.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1011576,559.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1012737,559.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1012073,562.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1011536,570.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012207,580.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012724,585.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012209,593.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1010407,596.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1012726,596.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012723,604.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1011535,604.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ADECCO UK LTD,1012082,608.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1012085,611.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1012066,612.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1011540,616.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1010160,627.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1012078,628.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1010437,637.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012208,637.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1012719,644.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1010225,676.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1011534,676.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1012206,676.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1012721,676.61
