Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,CENEX,997736,7362.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,CENEX,997738,8742.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,ELIZABETH BRIGNALL,998748,8225
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,998104,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,998103,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,998795,1245.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,999312,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,999309,2802.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,997121,3113.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,999760,14393.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,997546,16450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,On-Line Databases (Programme),Business Group - Advanced Manufacturing Industries,STANDARD & POORS,999222,4700
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,JANES INFORMATION GROUP LTD,997520,521.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,JANES INFORMATION GROUP LTD,998546,975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,996469,3900000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/06/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,999772,4200000
