TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,03/04/2012,PCCL1549121,INSIGHT INTERNET         ,752.52
Individual GPC,04/04/2012,PCCL1552471,WWW.PNLTOOLS.COM         ,652.80
Individual GPC,12/04/2012,PCCL1572321,INSIGHT                  ,647.30
Individual GPC,12/04/2012,PCCL1569051,DS ERGONOMICS LTD        ,880.80
Individual GPC,18/04/2012,PCCL1572411,CASA VELAS RECEPCION     ,661.17
Individual GPC,23/04/2012,PCCL1573891,SHANGRI-LA FO 3          ,862.49
Individual GPC,29/04/2012,PCCL1573061,SOFITEL BRUSSEL LE LO    ,680.54
Individual GPC,30/04/2012,PCCL1571931,WWW.CONNEVANS.COM        ,1567.78
Individual GPC,02/05/2012,PCCL1571991,TELECOMS PRODUCT         ,502.04
Individual GPC,03/05/2012,PCCL1594231,GEORGETOWN INN           ,658.64
Individual GPC,09/05/2012,PCCL1588491,VIKING                   ,655.96
Individual GPC,09/05/2012,PCCL1587901,SOUTH EAST DRAWING OFF V ,692.99
Individual GPC,10/05/2012,PCCL1592171,ISTORAGE                 ,531.60
Individual GPC,14/05/2012,PCCL1591911,WWW.ARIA.CO.UK           ,698.93
Individual GPC,14/05/2012,PCCL1587381,OSMOND GROUP LTD         ,773.62
Individual GPC,15/05/2012,PCCL1587391,CORRIGO                  ,768.00
Individual GPC,17/05/2012,PCCL1591841,BANNER BUSINESS SUPPL    ,677.19
Individual GPC,17/05/2012,PCCL1594071,WEST COAST TRAINS        ,554.00
Individual GPC,18/05/2012,PCCL1591951,B.T. BUSINESS DIRECT     ,1077.60
Individual GPC,22/05/2012,PCCL1591981,ADOBE SYSTEMS            ,1065.60
Individual GPC,24/05/2012,PCCL1594511,NORWEGIAN A 3287088772340,751.80
Individual GPC,24/05/2012,PCCL1588041,CIVIL SERVICE LEARNING   ,879.60
Individual GPC,25/05/2012,PCCL1596101,WWW.ERONOMICS.CO.        ,585.78
Individual GPC,28/05/2012,PCCL1587471,OSMOND GROUP LTD         ,1092.58
Individual GPC,01/06/2012,PCCL1590591,AK KEME HOTEL            ,1292.83
Individual GPC,07/06/2012,PCCL1598691,CampaignMonitor      ,511.89
Individual GPC,12/06/2012,PCCL1597481,FINANCIAL TIMES          ,520.00
Individual GPC,12/06/2012,PCCL1597561,Ozacomm Pty Ltd          ,721.54
Individual GPC,13/06/2012,PCCL1596301,EXETER CITY COUNCIL      ,690.30
Individual GPC,15/06/2012,PCCL1600401,HOTEL ASTORIA            ,509.03
Individual GPC,18/06/2012,PCCL1598571,AIR FRANCE  0572323479843,1246.45
Individual GPC,18/06/2012,PCCL1598581,AIR FRANCE  0572323479844,1246.45
Individual GPC,21/06/2012,PCCL1602731,XV BEACON STREET HOTEL   ,917.75
Individual GPC,21/06/2012,PCCL1602741,XV BEACON STREET HOTEL   ,923.97
Individual GPC,21/06/2012,PCCL1602751,XV BEACON STREET HOTEL   ,1140.06
Individual GPC,21/06/2012,PCCL1602641,MBT WORLDWIDE INC        ,701.34
Individual GPC,21/06/2012,PCCL1602651,MBT WORLDWIDE INC        ,907.61
Individual GPC,21/06/2012,PCCL1596331,OSMOND GROUP LTD         ,987.60
Individual GPC,21/06/2012,PCCL1596341,OSMOND GROUP LTD         ,1008.00
Individual GPC,22/06/2012,PCCL1600571,ISTORAGE                 ,531.60
Individual GPC,25/06/2012,PCCL1602241,FINANCIAL TIMES LT       ,832.00
Individual GPC,25/06/2012,PCCL1596421,SETON                    ,756.54
Individual GPC,25/06/2012,PCCL1597351,CIVIL SERVICE LEARNING   ,879.60
Individual GPC,27/06/2012,PCCL1600461,BANNER BUSINESS SUPPL    ,844.66
Individual GPC,27/06/2012,PCCL1596451,OSMOND GROUP LTD         ,958.80
Individual GPC,28/06/2012,PCCL1596481,MARKET LOCK & SAFE       ,566.16
