Transaction Type,Transaction Date,Transaction Reference,Merchant,Total
Individual GPC,01/10/2011,PCCL1448681,LYRECO UK LTD            ,665.52
Individual GPC,04/10/2011,PCCL1460411,INSIGHT INTERNET         ,1933.85
Individual GPC,04/10/2011,PCCL1460421,INSIGHT INTERNET         ,1933.85
Individual GPC,06/10/2011,PCCL1461161,SEARCYS RF GDN RMS       ,500
Individual GPC,06/10/2011,PCCL1461171,SEARCYS RF GDN RMS       ,500
Individual GPC,10/10/2011,PCCL1456441,WWW.ONLINE-ERGONOMICS.   ,638.7
Individual GPC,13/10/2011,PCCL1456921,THE PAPER COMPANY        ,846
Individual GPC,14/10/2011,PCCL1460761,EASYJET     0000017641411,581.58
Individual GPC,14/10/2011,PCCL1456931,THE PAPER COMPANY        ,594.31
Individual GPC,17/10/2011,PCCL1456511,WWW.ONLINE-ERGONOMICS.   ,738
Individual GPC,20/10/2011,PCCL1459831,HOTEL S. ANSELMO         ,1189.13
Individual GPC,25/10/2011,PCCL1457121,CIPD ENTERPRISES         ,960
Individual GPC,26/10/2011,PCCL1456991,CES MARKETING LTD        ,540
Individual GPC,26/10/2011,PCCL1457001,CES MARKETING LTD        ,564
Individual GPC,27/10/2011,PCCL1461241,ADRIENNE                 ,724.11
Individual GPC,27/10/2011,PCCL1460461,B.T. BUSINESS DIRECT     ,1934.31
Individual GPC,01/11/2011,PCCL1460341,OFFICE DEPOT             ,710.88
Individual GPC,02/11/2011,PCCL1457111,THERCRDSMNGMNTSCTY       ,616.88
Individual GPC,08/11/2011,PCCL1469681,WWW.GREENWAREHOUSE.CO.   ,514.08
Individual GPC,09/11/2011,PCCL1473091,LASTMINUTE.COM           ,895.46
Individual GPC,16/11/2011,PCCL1470411,THE PAPER COMPANY        ,846
Individual GPC,17/11/2011,PCCL1469751,WWW.ONLINE-ERGONOMICS.   ,1294.8
Individual GPC,21/11/2011,PCCL1471331,MANTILLA LTD             ,1000
Individual GPC,22/11/2011,PCCL1470551,CIPD ENTERPRISES         ,1086
Individual GPC,23/11/2011,PCCL1475121,EDF ENERGY-IVR           ,2047.04
Individual GPC,25/11/2011,PCCL1469791,PITNEYBOWESDIRECT.       ,606.88
Individual GPC,25/11/2011,PCCL1469801,SCANNA MSC LTD           ,865.2
Individual GPC,28/11/2011,PCCL1475131,SOUTH EAST WATER LTD     ,13305.16
Individual GPC,29/11/2011,PCCL1473661,SIGHT & SOUND            ,1923
Individual GPC,29/11/2011,PCCL1469811,WWW.ONLINE-ERGONOMICS.   ,940.8
