Transaction Date,Transaction Reference,Merchant,Total
01/04/2011,PCCL1362071,EUROFFICE LIMITED,703.71
04/04/2011,PCCL1366901,APPLE COMPUTER INTL,2628.95
04/04/2011,PCCL1366261,COMPUTACENTER (UK) LTD,1153.2
04/04/2011,PCCL1362101,PITMAN TRAINING  C,515.32
04/04/2011,PCCL1362091,TILLS,535
05/04/2011,PCCL1366291,COMPUTACENTER (UK) LTD,3406.04
05/04/2011,PCCL1362481,OFFICE DEPOT,977.46
06/04/2011,PCCL1384591,INSIGHT INTERNET,1223.71
06/04/2011,PCCL1381661,THE PAPER COMPANY,745.74
07/04/2011,PCCL1381671,THE PAPER COMPANY,555.6
11/04/2011,PCCL1381451,EMPLOYERS FORUM,591.34
11/04/2011,PCCL1384851,HOTEL BERLAYMONT SANV,628.89
11/04/2011,PCCL1381131,ROYAL MAIL SHOP,920
11/04/2011,PCCL1381151,WWW.SLINGSBY.COM,799.2
13/04/2011,PCCL1381191,ROYAL MAIL GROUP,780
13/04/2011,PCCL1384601,SYM SECURE SITE SSL,724.79
14/04/2011,PCCL1384931,BUYITULTRACHEAP.COM,799.95
14/04/2011,PCCL1381761,LYRECO UK LTD,1003.55
15/04/2011,PCCL1382671,INSIGHT INTERNET,995.83
15/04/2011,PCCL1382121,WWW.RICHARDSONUK.CO.UK,664.32
18/04/2011,PCCL1384901,HOTEL BERLAYMONT SANV,596.41
21/04/2011,PCCL1382861,LYRECO UK LTD,1895.48
28/04/2011,PCCL1384631,INSIGHT,3447.82
28/04/2011,PCCL1381051,THE PAPER COMPANY,555.6
05/05/2011,PCCL1381721,THE PAPER COMPANY,555.6
09/05/2011,PCCL1408951,EUROFFICE LIMITED,1075.07
10/05/2011,PCCL1408201,MICROLINK PC (UK),948
11/05/2011,PCCL1410121,COMPUTACENTER (UK) LTD,2728.86
11/05/2011,PCCL1410111,COMPUTACENTER (UK) LTD,1265.04
16/05/2011,PCCL1410131,MISCO,1103.98
16/05/2011,PCCL1408781,THE PAPER COMPANY,555.6
17/05/2011,PCCL1408961,EUROFFICE LIMITED,820.22
19/05/2011,PCCL1408981,LYRECO UK LTD,879.02
19/05/2011,PCCL1408231,PITNEYBOWESDIRECT.,784.3
19/05/2011,PCCL1412821,THE FAIRMONT MIRAMAR,749.37
20/05/2011,PCCL1412671,NIMANS LTD,1414.84
23/05/2011,PCCL1409001,LYRECO UK LTD,1038.46
26/05/2011,PCCL1411861,ARENA & CONVENTION,900
26/05/2011,PCCL1408831,CES MARKETING LTD,564
26/05/2011,PCCL1408821,CES MARKETING LTD,540
26/05/2011,PCCL1409011,EUROFFICE LIMITED,790.58
30/05/2011,PCCL1409021,LYRECO UK LTD,1266.84
02/06/2011,PCCL1408161,FLEXIFORM BUS FURNITUR,529.2
03/06/2011,PCCL1408871,THE PAPER COMPANY,555.6
03/06/2011,PCCL1408861,THE PAPER COMPANY,547.2
06/06/2011,PCCL1414621,BUTTERWORTH TOLLEY,598.8
06/06/2011,PCCL1419371,HOC CRS,562.5
06/06/2011,PCCL1416141,INSIGHT,519.02
08/06/2011,PCCL1418731,THE UK ORACLE USER,1089.6
09/06/2011,PCCL1414821,UNICOM SEMINARS LTD,1052
10/06/2011,PCCL1414671,THE PAPER COMPANY,555.6
15/06/2011,PCCL1415121,OFFICE DEPOT,710.88
16/06/2011,PCCL1414691,THE PAPER COMPANY,547.2
20/06/2011,PCCL1414581,PAYPAL  MANIFESTINF,600
22/06/2011,PCCL1414711,THE PAPER COMPANY,555.6
29/06/2011,PCCL1414751,THE PAPER COMPANY,555.5
01/04/2011,282205343,Carlson Wagonlit Travel UK Limited,3522.03
01/04/2011,282205341,Carlson Wagonlit Travel UK Limited,806.7
01/04/2011,282205501,Carlson Wagonlit Travel UK Limited,3302.3
01/04/2011,282205340,Carlson Wagonlit Travel UK Limited,1312.4
04/04/2011,282387664,Carlson Wagonlit Travel UK Limited,3092.03
05/04/2011,282583131,Carlson Wagonlit Travel UK Limited,3522.03
06/04/2011,282821338,Carlson Wagonlit Travel UK Limited,749.53
06/04/2011,282821339,Carlson Wagonlit Travel UK Limited,759.13
12/04/2011,283762475,Carlson Wagonlit Travel UK Limited,610.9
14/04/2011,284272967,Carlson Wagonlit Travel UK Limited,4415.63
14/04/2011,284272963,Carlson Wagonlit Travel UK Limited,4415.63
14/04/2011,284271702,Carlson Wagonlit Travel UK Limited,3778.43
18/04/2011,284726093,Carlson Wagonlit Travel UK Limited,860.97
18/04/2011,284726094,Carlson Wagonlit Travel UK Limited,860.97
18/04/2011,284724696,Carlson Wagonlit Travel UK Limited,1747.43
21/04/2011,285534055,Carlson Wagonlit Travel UK Limited,3997.53
21/04/2011,285536253,Carlson Wagonlit Travel UK Limited,1563.9
03/05/2011,286571637,Carlson Wagonlit Travel UK Limited,993.4
04/05/2011,286780812,Carlson Wagonlit Travel UK Limited,5444.73
10/05/2011,287764990,Carlson Wagonlit Travel UK Limited,1985.3
10/05/2011,287759673,Carlson Wagonlit Travel UK Limited,1808.33
10/05/2011,287764987,Carlson Wagonlit Travel UK Limited,1985.3
10/05/2011,287764989,Carlson Wagonlit Travel UK Limited,1985.3
10/05/2011,287759666,Carlson Wagonlit Travel UK Limited,1808.33
10/05/2011,287759680,Carlson Wagonlit Travel UK Limited,1808.33
14/05/2011,288566994,Carlson Wagonlit Travel UK Limited,890.4
17/05/2011,289102617,Carlson Wagonlit Travel UK Limited,829.53
20/05/2011,289799136,Carlson Wagonlit Travel UK Limited,888.63
23/05/2011,289990119,Carlson Wagonlit Travel UK Limited,1485.63
23/05/2011,289990123,Carlson Wagonlit Travel UK Limited,692.63
23/05/2011,289990118,Carlson Wagonlit Travel UK Limited,3590.13
24/05/2011,290211436,Carlson Wagonlit Travel UK Limited,5850.93
24/05/2011,290211437,Carlson Wagonlit Travel UK Limited,5134.93
24/05/2011,290211435,Carlson Wagonlit Travel UK Limited,5134.93
25/05/2011,290712894,Carlson Wagonlit Travel UK Limited,3820.13
26/05/2011,291080652,Carlson Wagonlit Travel UK Limited,578.2
26/05/2011,291076776,Carlson Wagonlit Travel UK Limited,5230.83
27/05/2011,291076769,Carlson Wagonlit Travel UK Limited,879.43
27/05/2011,291076766,Carlson Wagonlit Travel UK Limited,879.43
01/06/2011,291467209,Carlson Wagonlit Travel UK Limited,522.6
01/06/2011,291466278,Carlson Wagonlit Travel UK Limited,4010.23
01/06/2011,291466281,Carlson Wagonlit Travel UK Limited,4010.23
02/06/2011,291716851,Carlson Wagonlit Travel UK Limited,934.56
