Department family,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,03/10/2012,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,16916,1950
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16917,427
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16919,800
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,AMS Events (Sound and Lighting) Ltd,16921,252
Communities And Local Government,03/10/2012,Marketing,Commercial,VOHM,16922,500
Communities And Local Government,03/10/2012,Marketing,Commercial,Anti-Theatre Ltd,16923,7000
Communities And Local Government,03/10/2012,Cost of Sales - Commission,Commercial,Smooth Events Management Ltd,16925,1258.9
Communities And Local Government,03/10/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,16926,240
Communities And Local Government,03/10/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,16927,240
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,16931,230
Communities And Local Government,03/10/2012,Consultants,Commercial,Lychee3 Solutions Ltd,16936,2000
Communities And Local Government,03/10/2012,Cost of Sales - Equipment Hire,Interface,QED PRODUCTIONS LTD,16938,26710
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Coloured Red Productions Ltd,16939,1000
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Orange Genie Cover Ltd,16940,430
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Orange Genie Cover Ltd,16941,400
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16942,800
Communities And Local Government,03/10/2012,Advertising,Commercial,London and Partners,16943,2000
Communities And Local Government,03/10/2012,Marketing,Commercial,POSITIVE MEDIA PROMOTIONS LTD,16944,545
Communities And Local Government,03/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16945,400
Communities And Local Government,03/10/2012,Leith's Receipts,Finance,Leith's at the Centre,16946,1347.5
Communities And Local Government,03/10/2012,Cost of Sales - Commission,Commercial,Elsevier Limited,16947,8376
Communities And Local Government,05/10/2012,Marketing,Commercial,Leith's at the Centre,16948,433.28
Communities And Local Government,05/10/2012,Maintenance,Interface,WHITE LIGHT LTD,16951,263.1
Communities And Local Government,05/10/2012,Water,Operations,THAMES WATER UTILITIES LTD,16952,3892.15
Communities And Local Government,05/10/2012,Maintenance,Interface,WHITE LIGHT LTD,16954,247.9
Communities And Local Government,05/10/2012,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,16955,1516.5
Communities And Local Government,05/10/2012,Advertising,Commercial,PATCH MEDIA LTD,16959,2300
Communities And Local Government,05/10/2012,Maintenance,Interface,WHITE LIGHT LTD,16960,242.4
Communities And Local Government,05/10/2012,Electricity,Operations,EDF ENERGY,16961,36788.66
Communities And Local Government,05/10/2012,Maintenance,Operations,CORDSTRAP LTD,16962,222.25
Communities And Local Government,05/10/2012,Cost of Sales - Contract Labour,Operations,INTERSERVE PLC,16964,6246.74
Communities And Local Government,05/10/2012,Cleaners & Porters,Event Management,INTERSERVE PLC,16964,21100.3
Communities And Local Government,05/10/2012,Security,Operations,INTERSERVE PLC,16964,9431.24
Communities And Local Government,05/10/2012,Consultants,Operations,INTERSERVE PLC,16965,-1160.12
Communities And Local Government,08/10/2012,Consumables,ITC Department,Skye Direct Ltd,16966,380
Communities And Local Government,08/10/2012,Marketing,Commercial,ANISEED PR LTD,16968,2520
Communities And Local Government,08/10/2012,Cost of Sales - Telecommunications,ITC Department,BRITISH TELECOM,16971,585.11
Communities And Local Government,08/10/2012,Internet & Telecomms,Operations,BRITISH TELECOM,16972,242.24
Communities And Local Government,08/10/2012,IT Equipment Maintenance,ITC Department,DELPHINI LTD,16974,500
Communities And Local Government,08/10/2012,Consultants,Administration,TICKETT ENTERPRISES LTD,16975,250
Communities And Local Government,08/10/2012,IT Equipment Maintenance,ITC Department,ALL RIGHT NOW LTD,16976,738.5
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,16978,706
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16979,427
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,16981,400
Communities And Local Government,09/10/2012,Cost of Sales - Telecommunications,ITC Department,TELECOMS PROPERTY CONSULTANCY LTD,16982,3509.24
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16983,600
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16985,800
Communities And Local Government,09/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16986,400
Communities And Local Government,10/10/2012,Maintenance,Interface,AVCOM,16987,240
Communities And Local Government,10/10/2012,Cost of Sales - Sets,Interface,BLACKOUT LTD,16988,372
Communities And Local Government,10/10/2012,Cost of Sales - Equipment Hire,Interface,PRO MOTION HIRE LTD,16989,500
Communities And Local Government,10/10/2012,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,16990,17112.45
Communities And Local Government,10/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16991,854
Communities And Local Government,10/10/2012,Cost of Sales - Freelance Technicians,Interface,Global Idea,16992,450
Communities And Local Government,10/10/2012,Maintenance,Interface,VDC TRADING LIMITED,16994,1348.8
Communities And Local Government,11/10/2012,Cost of Sales - Freelance Technicians,Interface,Crewsaders Ltd,16996,231
Communities And Local Government,11/10/2012,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,16997,299.55
Communities And Local Government,11/10/2012,Membership Subscriptions,Commercial,BARCLAYCARD PROCUREMENT CARD,16997,180
Communities And Local Government,11/10/2012,Cost of Sales - Consumables,Interface,BARCLAYCARD PROCUREMENT CARD,16997,34.14
Communities And Local Government,11/10/2012,Consumables,Operations,BARCLAYCARD PROCUREMENT CARD,16997,5.42
Communities And Local Government,11/10/2012,Cost of Sales - Rechargeable Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,16997,275.5
Communities And Local Government,11/10/2012,Uniforms,Interface,BARCLAYCARD PROCUREMENT CARD,16997,62.33
Communities And Local Government,11/10/2012,Conferences,Interface,BARCLAYCARD PROCUREMENT CARD,16997,16.67
Communities And Local Government,11/10/2012,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,16997,43.33
Communities And Local Government,11/10/2012,Licence Costs,Administration,BARCLAYCARD PROCUREMENT CARD,16997,840
Communities And Local Government,11/10/2012,Cost Of Sales - Consumables,Business Centre,BARCLAYCARD PROCUREMENT CARD,16997,51.38
Communities And Local Government,11/10/2012,Membership Subscriptions,Interface,BARCLAYCARD PROCUREMENT CARD,16997,80
Communities And Local Government,11/10/2012,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,16997,31.54
Communities And Local Government,11/10/2012,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,16997,158.05
Communities And Local Government,11/10/2012,Business Rates,Administration,CITY OF WESTMINSTER,16998,50631
Communities And Local Government,11/10/2012,Consultants,Commercial,Jude Cosway Consultancy Services,16999,1685
Communities And Local Government,11/10/2012,Membership Subscriptions,Commercial,Hotel Booking Agents Association,17000,695
Communities And Local Government,11/10/2012,Cost of Sales - Equipment Hire,Interface,Business Shows Ltd,17001,2040
Communities And Local Government,11/10/2012,Cost of Sales - Equipment Hire,Interface,MINICAMS/ Webcast IT Ltd,17003,290
Communities And Local Government,11/10/2012,Cost of Sales - Equipment Hire,Interface,MINICAMS/ Webcast IT Ltd,17004,1275
Communities And Local Government,12/10/2012,Gas,Operations,CORONA ENERGY,17006,7312.99
Communities And Local Government,12/10/2012,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,17007,212.4
Communities And Local Government,12/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17011,1275
Communities And Local Government,12/10/2012,Cost of Sales - Freelance Technicians,Interface,AP SET CONSTRUCTION LTD,17012,1440
Communities And Local Government,12/10/2012,Cost of Sales - Sets,Interface,AP SET CONSTRUCTION LTD,17012,3190
Communities And Local Government,12/10/2012,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,17013,2453.23
Communities And Local Government,12/10/2012,Travel,Operations,GREATER LONDON HIRE LTD,17014,70.22
Communities And Local Government,12/10/2012,Cost of Sales - Rechargeable Expenses,Interface,GREATER LONDON HIRE LTD,17014,185.49
Communities And Local Government,12/10/2012,Travel,ITC Department,GREATER LONDON HIRE LTD,17014,53.11
Communities And Local Government,12/10/2012,Travel,Event Management,GREATER LONDON HIRE LTD,17014,1409.8
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Coloured Red Productions Ltd,17015,800
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17018,400
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,17020,400
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Orange Genie Cover Ltd,17021,800
Communities And Local Government,15/10/2012,Maintenance,Operations,Health Protection Agency,17023,1285
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Cambina Productions Ltd,17024,418
Communities And Local Government,15/10/2012,Cost of Sales - Consumables,Interface,STANLEY PRODUCTIONS LTD,17026,862
Communities And Local Government,15/10/2012,Cost of Sales - Consumables,Interface,PROJECTED IMAGE UK LTD,17027,230.5
Communities And Local Government,15/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17028,400
Communities And Local Government,16/10/2012,Pension Cost,Administration,CABINET OFFICE,17031,880.97
Communities And Local Government,16/10/2012,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,17032,4731
Communities And Local Government,16/10/2012,Consumables,Interface,LE MARK GROUP,17033,510.36
Communities And Local Government,17/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17036,400
Communities And Local Government,19/10/2012,Cost of Sales - Contract Labour,Operations,INTERSERVE PLC,17038,30807.14
Communities And Local Government,19/10/2012,Cost of Sales - Mini Shifts,Event Management,INTERSERVE PLC,17038,7865.04
Communities And Local Government,19/10/2012,Security,Operations,INTERSERVE PLC,17038,2691.24
Communities And Local Government,19/10/2012,Cost of Sales - Time & Labour,Event Management,INTERSERVE PLC,17038,1050.24
Communities And Local Government,19/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17042,1439
Communities And Local Government,19/10/2012,Leith's Receipts,Finance,DELL COMPUTER CORPORATION LTD,17043,998
Communities And Local Government,19/10/2012,Staff Welfare,Administration,HEALTH MANAGEMENT LTD,17044,343.25
Communities And Local Government,19/10/2012,Cost of Sales - Equipment Hire,Interface,PRO MOTION HIRE LTD,17048,350
Communities And Local Government,19/10/2012,Marketing,Commercial,VERIZON UK LIMITED,17049,1.09
Communities And Local Government,19/10/2012,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,17049,1852
Communities And Local Government,19/10/2012,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,17050,7358.72
Communities And Local Government,19/10/2012,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,17051,397.01
Communities And Local Government,19/10/2012,Cost of Sales - Equipment Hire,Interface,Coloured Red Productions Ltd,17052,40
Communities And Local Government,19/10/2012,Cost of Sales - Freelance Technicians,Interface,Coloured Red Productions Ltd,17052,600
Communities And Local Government,19/10/2012,Cost of Sales - Freelance Technicians,Interface,ISS Ltd,17055,436
Communities And Local Government,19/10/2012,Cost of Sales - Freelance Technicians,Interface,ISS Ltd,17056,400
Communities And Local Government,19/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17057,436
Communities And Local Government,19/10/2012,Cost of Sales - Equipment Hire,Interface,Business Shows Ltd,17058,6920
Communities And Local Government,22/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17061,400
Communities And Local Government,22/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17062,400
Communities And Local Government,22/10/2012,Cost of Sales - Equipment Hire,Interface,CAPITAL SOUND HIRE LTD,17063,2743.5
Communities And Local Government,22/10/2012,Maintenance,Operations,LIME,17065,1125
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17067,235
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17068,470
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17069,235
Communities And Local Government,23/10/2012,Maintenance,Interface,AVCOM,17070,1078
Communities And Local Government,23/10/2012,Maintenance,Operations,INTERSERVE PLC,17073,424.53
Communities And Local Government,23/10/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,17077,340
Communities And Local Government,23/10/2012,Marketing,Commercial,A PERTON SIGNS LIMITED,17078,118
Communities And Local Government,23/10/2012,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,17078,10793
Communities And Local Government,23/10/2012,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,17078,3137
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,A PERTON SIGNS LIMITED,17078,200
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,NEIL MACTAGGART PRODUCTION,17079,666
Communities And Local Government,23/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17080,1018
Communities And Local Government,25/10/2012,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,17082,1608.65
Communities And Local Government,25/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17084,427
Communities And Local Government,25/10/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,17085,260
Communities And Local Government,25/10/2012,Maintenance,Operations,REFUPAK SERVICES LTD,17088,239.8
Communities And Local Government,25/10/2012,Maintenance,Operations,LIME,17089,445
Communities And Local Government,25/10/2012,Published Material,Commercial,Core Copywriting,17090,770
Communities And Local Government,25/10/2012,Marketing,Commercial,HENDERSON WEB DESIGN LTD,17091,485
Communities And Local Government,25/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17092,470
