Public Performance Measure (PPM): Proportion of trains arriving on time: Train Operating Companies franchised by the Department for Transport (DfT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office of Rail Regulation (http://dataportal.orr.gov.uk/browsereports/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Train Operating Company,2004/05 Period 1,2004/05 Period 2,2004/05 Period 3,2004/05 Period 4,2004/05 Period 5,2004/05 Period 6,2004/05 Period 7,2004/05 Period 8,2004/05 Period 9,2004/05 Period 10,2004/05 Period 11,2004/05 Period 12,2004/05 Period 13,2005/06 Period 1,2005/06 Period 2,2005/06 Period 3,2005/06 Period 4,2005/06 Period 5,2005/06 Period 6,2005/06 Period 7,2005/06 Period 8,2005/06 Period 9,2005/06 Period 10,2005/06 Period 11,2005/06 Period 12,2005/06 Period 13,2006/07 Period 1,2006/07 Period 2,2006/07 Period 3,2006/07 Period 4,2006/07 Period 5,2006/07 Period 6,2006/07 Period 7,2006/07 Period 8,2006/07 Period 9,2006/07 Period 10,2006/07 Period 11,2006/07 Period 12,2006/07 Period 13,2007/08 Period 1,2007/08 Period 2,2007/08 Period 3,2007/08 Period 4,2007/08 Period 5,2007/08 Period 6,2007/08 Period 7,2007/08 Period 8,2007/08 Period 9,2007/08 Period 10,2007/08 Period 11,2007/08 Period 12,2007/08 Period 13,2008/09 Period 1,2008/09 Period 2,2008/09 Period 3,2008/09 Period 4,2008/09 Period 5,2008/09 Period 6,2008/09 Period 7,2008/09 Period 8,2008/09 Period 9,2008/09 Period 10,2008/09 Period 11,2008/09 Period 12,2008/09 Period 13,2009/10 Period 1,2009/10 Period 2,2009/10 Period 3,2009/10 Period 4,2009/10 Period 5,2009/10 Period 6,2009/10 Period 7,2009/10 Period 8,2009/10 Period 9,2009/10 Period 10,2009/10 Period 11,2009/10 Period 12,2009/10 Period 13,2010/11 Period 1,2010/11 Period 2,2010/11 Period 3,2010/11 Period 4,2010/11 Period 5,2010/11 Period 6,2010/11 Period 7,2010/11 Period 8,2010/11 Period 9,2010/11 Period 10,2010/11 Period 11,2010/11 Period 12,2010/11 Period 13,2011/12 Period 1,2011/12 Period 2,2011/12 Period 3,2011/12 Period 4,2011/12 Period 5,2011/12 Period 6,2011/12 Period 7,2011/12 Period 8,2011/12 Period 9,2011/12 Period 10,2011/12 Period 11,2011/12 Period 12,2011/12 Period 13,2012/13 Period 1,2012/13 Period 2,2012/13 Period 3,2012/13 Period 4,2012/13 Period 5,2012/13 Period 6,2012/13 Period 7,2012/13 Period 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of trains arriving on time in rail period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2c,92.3,92.2,94.9,91.8,93.2,94.1,94.7,90.4,93.7,92.7,95.4,93.3,93.0,94.7,94.3,94.7,93.9,95.3,94.0,92.4,87.2,89.9,92.5,91.7,94.5,92.5,97.2,95.2,93.8,95.1,95.0,94.4,94.5,95.6,94.6,88.5,90.4,95.9,95.6,93.1,94.5,95.7,97.3,94.1,95.3,92.7,96.1,93.8,95.3,93.6,93.7,93.0,96.1,96.7,91.2,96.4,95.3,95.9,96.2,95.3,94.5,95.6,96.2,92.5,96.7,97.0,97.0,96.4,95.2,96.8,95.8,96.9,98.0,97.1,94.6,95.7,97.9,97.5,97.9,95.8,97.0,92.1,98.8,96.6,98.1,92.8,84.7,89.3,95.0,96.5,97.4,96.3,97.4,97.3,95.2,97.1,97.5,96.5,97.8,97.2,95.7,97.4,96.9,96.1,97.9,97.2,97.9,97.2,97.4,98.7,98.2,98.4
Chiltern Railways,94.9,95.0,89.9,91.2,89.7,93.5,92.1,86.7,94.7,91.0,93.4,93.2,96.2,95.5,95.8,87.4,84.6,95.3,88.1,88.0,91.3,91.0,93.6,93.5,94.3,93.3,96.9,94.8,91.7,88.2,92.4,95.5,95.4,96.6,94.3,95.3,92.7,92.2,93.5,94.3,95.8,93.0,92.8,95.2,95.4,95.8,94.9,96.0,95.3,96.1,95.6,95.2,96.1,94.8,93.9,95.9,95.7,94.8,96.3,94.5,94.0,95.8,95.1,93.2,97.5,94.4,96.5,95.0,94.1,96.9,96.6,97.1,95.9,97.0,89.5,94.2,93.9,96.2,95.8,95.4,94.4,93.6,96.3,97.3,95.7,91.5,94.4,85.0,92.3,95.9,92.7,94.5,95.0,96.3,93.9,93.2,87.0,91.4,93.0,89.8,92.4,93.4,93.2,95.5,95.2,95.0,94.6,94.1,93.9,95.5,96.1,96.4
CrossCountry,84.6,81.4,75.5,78.2,74.0,75.0,78.9,67.6,74.8,75.7,83.1,82.7,83.8,85.6,85.4,76.4,81.0,84.4,83.7,84.1,73.6,73.6,81.7,88.2,86.1,89.0,91.0,87.7,87.2,78.9,83.3,83.5,85.1,82.0,77.8,86.4,83.5,86.4,88.2,88.1,91.2,83.7,82.4,84.4,88.6,89.9,82.1,86.3,88.0,88.9,88.5,89.3,92.4,91.2,90.3,90.7,87.2,90.2,91.6,86.8,89.3,87.5,92.2,88.5,93.3,91.3,92.5,91.3,90.0,91.0,91.5,94.0,89.1,91.3,76.9,90.2,90.2,89.2,87.8,91.3,90.8,92.7,90.4,92.1,92.7,84.3,76.4,74.0,88.9,89.8,90.2,89.0,92.2,91.0,91.1,91.5,90.0,87.5,85.5,87.4,87.3,90.0,89.5,92.4,89.9,88.0,89.7,87.6,88.1,91.3,88.8,86.9
East Coast,80.1,80.0,77.4,78.3,69.7,78.6,78.7,72.3,75.3,76.3,79.9,78.3,82.4,86.8,87.9,77.8,72.6,88.6,80.9,84.7,77.6,81.2,80.6,89.5,86.8,89.1,88.9,87.7,86.4,75.0,83.7,84.6,84.6,79.3,79.6,78.2,82.0,79.5,84.2,85.5,83.9,79.6,64.9,83.5,85.4,88.0,82.7,86.3,85.7,82.5,81.8,85.0,84.2,89.5,85.4,86.8,81.3,89.0,91.1,82.3,86.7,88.4,90.1,83.0,91.9,90.3,92.5,89.1,86.3,91.2,87.9,91.5,87.9,85.2,67.4,89.7,86.7,87.0,86.4,88.8,87.8,84.7,86.1,85.2,89.2,85.0,72.8,63.4,81.6,82.5,85.7,86.6,86.1,88.5,81.9,89.4,86.8,84.1,87.4,85.5,84.5,88.2,86.2,90.6,84.3,87.7,90.5,85.0,89.1,93.4,89.0,85.9
East Midlands Trains,80.8,80.6,79.0,79.6,74.3,77.3,79.3,69.2,73.6,80.3,86.3,83.0,84.2,85.3,84.8,77.9,77.0,82.7,83.3,82.5,71.1,73.2,79.5,86.7,87.0,90.3,87.6,88.7,86.9,83.1,86.8,89.1,89.1,85.5,81.1,84.6,85.7,88.5,90.3,88.5,89.2,86.0,81.9,87.1,87.8,87.0,85.4,87.1,86.2,88.2,88.0,89.9,90.8,87.2,88.7,90.0,88.8,90.9,90.1,83.5,84.2,89.2,92.5,90.0,94.0,94.4,93.6,91.6,92.8,92.8,93.8,92.9,90.7,90.8,89.7,93.5,91.6,93.8,95.0,93.6,94.4,94.2,93.9,94.1,94.3,89.2,82.3,86.6,91.8,92.8,94.5,93.3,94.5,94.4,92.9,94.4,94.0,92.7,92.0,92.4,92.7,93.2,94.0,95.4,95.3,91.9,94.0,91.1,93.3,96.2,94.4,93.0
First Capital Connect,86.7,84.3,81.9,84.9,85.9,84.3,88.5,84.3,84.7,86.8,89.4,88.6,91.6,91.3,91.2,88.5,83.2,88.5,85.8,89.4,82.5,80.2,84.2,90.3,91.7,92.0,90.7,92.4,90.7,84.8,90.0,90.1,89.8,88.1,78.2,87.3,85.3,86.7,91.5,91.9,90.0,92.0,87.8,90.8,93.0,89.4,88.6,86.7,89.6,91.3,92.8,93.2,93.9,93.0,91.5,90.8,93.3,93.9,93.3,88.0,87.4,93.0,93.0,79.7,93.0,92.8,92.4,93.1,91.0,93.1,93.3,90.4,86.9,85.8,73.0,85.0,88.4,92.6,93.0,93.7,90.4,89.5,93.4,91.9,92.3,84.1,83.4,73.8,90.0,90.5,92.7,92.7,92.7,91.8,89.6,92.3,92.0,89.1,87.2,87.7,87.6,87.6,87.7,91.5,90.1,89.2,89.9,92.9,91.1,94.6,92.3,87.9
First Great Western,85.9,85.7,83.9,83.5,82.2,82.5,84.3,75.5,81.2,83.5,84.4,84.6,84.7,85.7,84.4,78.9,78.3,84.7,85.2,86.0,75.4,75.2,83.9,86.9,85.7,86.0,87.3,87.3,85.0,81.4,83.2,82.6,85.6,82.8,76.5,81.0,79.5,83.9,85.6,84.6,85.0,82.7,79.3,82.2,85.8,84.5,79.6,78.9,79.1,85.2,86.0,87.0,90.6,89.3,89.6,90.8,90.3,91.2,91.0,88.5,87.7,91.9,93.1,88.8,93.9,93.8,94.6,93.9,92.7,92.3,94.1,92.9,90.4,90.4,86.0,92.0,93.4,94.7,93.4,93.8,90.8,91.3,91.1,91.1,91.7,86.6,87.1,80.7,89.4,92.3,93.0,91.7,92.1,90.0,89.9,91.4,92.5,89.1,88.2,87.5,89.5,91.7,92.1,92.1,92.9,90.4,92.2,89.6,87.4,91.0,91.4,87.4
