Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",18-Jan-12,Royal Institute of International Affairs,Dinner
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",19-Jan-12,Chemical Industries Association,Dinner
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",8-Feb-12,British Bankers’ Association,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",8-Feb-12,Kingston Smith,Dinner   
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",22-Feb-12,"The Independent, The Herald",Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",12-Mar-12,The Telegraph,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",26-Mar-12,Sky News,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",27-Mar-12,The Independent,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",6-Jan-12,Institute of Motor Industry,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10-Jan-12,Education World Forum,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",12-Jan-12,The Royal Society,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Jan-12,The Independent,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Jan-12,BioIndustry Association,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",30-Jan-12,Universities UK,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",31-Jan-12,Daily Mail,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",7-Feb-12,"Aerospace, Defence and Security Industries",Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",27-Feb-12,Lockheed Martin Corporation,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",28-Feb-12,BBC,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",5-Mar-12,Royal Academy Of Engineering,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",6-Mar-12,Million+,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Mar-12,Russell Group,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",16-Jan-12,TheCityUK,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",19-Jan-12,Cambridge University Land Society,Breakfast
"Minister of State (Business and Enterprise), Mark Prisk MP",19-Jan-12,Works Management,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",25-Jan-12,Sevenhills,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",22-Feb-12,Hewlett Packard,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",27-Feb-12,Forum of Private Business,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",27-Feb-12,Politeia,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",1-Mar-12,The Unquoted Companies' Group,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",6-Mar-12,The Manufacturers’ Organisation,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",7-Mar-12,Telefónica ,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",17-Jan-12,Open University,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",31-Jan-12,Birkbeck College,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",29-Feb-12,National Institute of Adult Continuing Education,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",7-Mar-12,Lord Mayor of London,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",13-Mar-12,The Guardian,Lunch
"Minister of State (Trade and Investment), Lord Green",9-Jan-12,HSBC,Dinner
"Minister of State (Trade and Investment), Lord Green",10-Jan-12,Earlex ,Lunch
"Minister of State (Trade and Investment), Lord Green",19-Jan-12,European Executive Council,Dinner
"Minister of State (Trade and Investment), Lord Green",30-Jan-12,German Industry UK,Lunch
"Minister of State (Trade and Investment), Lord Green",31-Jan-12,Lord Mayor of London,Dinner
"Minister of State (Trade and Investment), Lord Green",6-Feb-12,DLA Piper UK ,Dinner
"Minister of State (Trade and Investment), Lord Green",9-Feb-12,Confederation of British Industry,Breakfast
"Minister of State (Trade and Investment), Lord Green",18-Feb-12,British Airways,Flight upgrade
"Minister of State (Trade and Investment), Lord Green",27-Feb-12,The Enterprise Forum,Lunch
"Minister of State (Trade and Investment), Lord Green",29-Feb-12,Scotch Whisky Association,Lunch
"Minister of State (Trade and Investment), Lord Green",1-Mar-12,Northamptonshire Chamber of Commerce,Dinner
"Minister of State (Trade and Investment), Lord Green",5-Mar-12,PRS for Music,Dinner
"Minister of State (Trade and Investment), Lord Green",20-Mar-12,Lloyd’s of London,Lunch
"Minister of State (Trade and Investment), Lord Green",22-Mar-12,Marsh Europe ,Lunch
"Minister of State (Trade and Investment), Lord Green",22-Mar-12,Imperial College London,Dinner
"Minister of State (Trade and Investment), Lord Green",28-Mar-12,Statoil,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP",21-Feb-12,"The Times, The Independent",Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP",6-Mar-12,European Employers Group,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP",22-Mar-12,The Sun,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP",26-Mar-12,"Daily Mail, Daily Telegraph",Lunch
