Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Giles Wilkes,2-Nov-11,Political Economy Club,Dinner
Giles Wilkes,15-Nov-11,PricewaterhouseCoopers,Dinner
Giles Wilkes,15-Dec-11,BBC,Doctor Who preview screening
Katie Waring,12-Oct-11,The Times,Lunch
Katie Waring,16-Nov-11,BBC,Lunch
Katie Waring,22-Nov-11,Society of Motor Manufacturers,Dinner
Katie Waring,5-Dec-11,The Guardian,Lunch
Katie Waring,15-Dec-11,The Daily Mail,Lunch
Nick Hillman,7-Oct-11,EThames Graduate School,Lunch
Nick Hillman,17-Oct-11,A4E,Lunch
Nick Hillman,7-Nov-11,GuildHE,Dinner
Nick Hillman,11-Nov-11,"Adrian Pepper, Pepper Media",Lunch
Nick Hillman,17-Nov-11,Magdalen College,Dinner
Nick Hillman,24-Nov-11,"Ann Mroz, Times Higher Education",Dinner
Nick Hillman,6-Dec-11,BPP,Lunch
Nick Hillman,8-Dec-11,Google,Dinner
