Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Giles Wilkes,25-Jan-12,Professor Dieter Helm CBE,Lunch
Giles Wilkes,30-Jan-12,Centre Forum,Dinner
Giles Wilkes,3-Feb-12,Thompson Reuters,Lunch
Giles Wilkes,8-Feb-12,British Banking Association,Lunch
Giles Wilkes,29-Feb-12,National Institute of Economic and Social Research,Lunch
Nick Hillman,13-Jan-12,College of Law,Lunch
Nick Hillman,16-Jan-12,Politeia,Dinner
Nick Hillman,23-Jan-12,Centre for Policy Studies,Lunch
Nick Hillman,25-Jan-12,Association of British Healthcare Industries,Dinner
Nick Hillman,30-Jan-12,Universities UK,Dinner
Nick Hillman,29-Feb-12,New Statesman,Lunch
