Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,"October, 2011",L’Oreal,General catch up
Martin Donnelly,"October, 2011",Huawei,Introductory meeting
Martin Donnelly,"October, 2011",IBM,Introductory meeting
Martin Donnelly,"October, 2011",Kraft Foods,Introductory meeting
Martin Donnelly,"October, 2011",Wood Group,Introductory meeting
Martin Donnelly,"October, 2011",Bupa,General catch up
Martin Donnelly,"November, 2011",Lloyds Register,Introductory meeting
Martin Donnelly,"November, 2011",IKEA,To discuss business
Martin Donnelly,"November, 2011",Anya Hindmarch,Introductory meeting
Martin Donnelly,"November, 2011",Blavatnik School of Government,Introductory meeting
Martin Donnelly,"November, 2011",Thomson Reuters,General catch up
Martin Donnelly,"November, 2011",Royal Bank of Scotland,General catch up
Martin Donnelly,"December, 2011",EDF Energy,Introductory meeting
Martin Donnelly,"December, 2011",Scottish Enterprise,Introductory meeting
Martin Donnelly,"December, 2011",Institute of Directors,General catch up
Sir John Beddington,"October, 2011",Policy Exchange,To discuss science
Sir John Beddington,"October, 2011",Academy of Medical Sciences,To discuss science
Sir John Beddington,"October, 2011",Serco,To discuss science
Sir John Beddington,"November, 2011",Grantham Institute,To discuss science
Sir John Beddington,"November, 2011",Prospect,To discuss science
Sir John Beddington,"November, 2011",Biomedicine Forum,To discuss science
Sir John Beddington,"November, 2011",The Prince’s Charities International Sustainability Unit,To discuss science
Sir John Beddington,"November, 2011",The Farmers Club,To discuss science
Sir John Beddington,"December, 2011",Lancaster University,To discuss science
Sir John Beddington,"December, 2011",Academy of Medical Sciences,To discuss science
