Date of meeting,Minister,Name of organisation,Purpose of meeting
May,Attorney General Dominic Grieve QC MP,"Chairman of the Bar Council, Vice Chairman of Bar Council, Chair of Criminal Bar Association",To discuss issues relating to the Bar
June,Attorney General Dominic Grieve QC MP,Bar Council meeting,To discuss issues relating to the Bar
June,Attorney General Dominic Grieve QC MP,Scottish Law Society President,"To discuss Pro Bono opportunities, relationship with Bar"
July,Attorney General Dominic Grieve QC MP,Press Complaints Commission,To discuss issues relating to contempt
July,Attorney General Dominic Grieve QC MP,Bar Council meeting,To discuss issues relating to the Bar
July,Attorney General Dominic Grieve QC MP,Society of Editors,To discuss issues of contempt and libel reform
July,Attorney General Dominic Grieve QC MP,President of England & Wales Law Society,To discuss Legal Aid and CPS in-house advocacy matters
May,Solicitor General Edward Garnier QC MP,"Chairman of the Bar Council, Vice Chairman of Bar Council, Chair of Criminal Bar Association",To discuss issues relating to the Bar
June,Solicitor General Edward Garnier QC MP,Bar Council meeting,To discuss issues relating to the Bar
June,Solicitor General Edward Garnier QC MP,Scottish Law Society President,"To discuss Pro Bono opportunities, relationship with Bar"
July,Solicitor General Edward Garnier QC MP,Alasdair Pepper QC,Defamation Bill
July,Solicitor General Edward Garnier QC MP,Society of Editors,To discuss issues of contempt and libel reform
July,Solicitor General Edward Garnier QC MP,Dinner meeting with Jonathan Fisher,To discuss Serious Economic Crime Agency
July,Solicitor General Edward Garnier QC MP,President of England & Wales Law Society,To discuss Legal Aid and CPS in-house advocacy matters


"Meetings include those with newspaper and other media proprietors, editors and senior executives."
