Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",13-Jun,Standard Chartered,Glyndebourne
"Minister of State, (Universities and Science), Rt Hon David Willets MP",20-May,University of Birmingham,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",7-Jun,The Sun,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",10-Jun,Oxford Brookes University,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",16-Jun,Council of Science and Technology,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",17-Jun,Centre for Life,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",23-Jun,1994 Group,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",30-Jun,BBC and the Independent,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",6-Jul,The Guardian,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",13-Jul,The Economist,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",19-Jul,Times Higher Education,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",23-Jun,Institute of Mechanical Engineers,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",26-Jul,Construction Industry Council,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",5-Jul,Association of Learning Providers,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",6-Jul,Associate Parliamentary skills group,Summer party
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",17-Jun,The 48 Group Club,Dinner
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",29-Jun,The Sun and Daily Mail,Lunch
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",7-Jul,Bosch,Dinner
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",7-Jul,Daily Mail,Lunch
"Parliamentary Secretary (Business, Innovation and Skills), Baroness Wilcox",23-Jun,Genesis Initiative,Breakfast
"Parliamentary Under-Secretary of State (Culture, Communications and Creative Industries) (jointly with the Department for Culture, Media and Sport), Hon. Ed Vaizey MP",30-Jun,Society of Editors,Lunch
"Parliamentary Under-Secretary of State (Culture, Communications and Creative Industries) (jointly with the Department for Culture, Media and Sport), Hon. Ed Vaizey MP",12-Jul,News International,Lunch
"Parliamentary Under-Secretary of State (Culture, Communications and Creative Industries) (jointly with the Department for Culture, Media and Sport), Hon. Ed Vaizey MP",29-Jul,International Press Institute,Lunch
