Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2010",The Work Foundation,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2010",Engineering Employers Federation,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2010",Federation for Small Business,To discuss small business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2010",Institute of Directors,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2010",Royal Mail,To discuss postal services
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Confederation of British Industry,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Communication Workers Union,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Universities UK,To discuss Higher Education
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",London Stock Exchange,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Bank of England,To discuss business and banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Trades Union Congress,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",US Chamber of Commerce,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Hutchison Whampoa,To discuss telecommunications
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Infrastructure,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Tata Group,To discuss business and investment in the UK
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Royal Bank of Scotland,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2010",Financial Reporting Council,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Lloyds Banking Group,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Hitachi,To discuss business and investment in the UK
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Agusta Westland,To discuss aerospace industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Siemens AG,To discuss telecommunications industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Organisation for Economic Cooperation and Development,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Confederation of British Industry,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",UK India Business Council,To discuss trade with India
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",British Bankers Association,To discuss banking industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",DP World,To discuss business
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Society of Motor Manufacturers and Traders,To discuss  motor industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",University of Cambridge,To discuss Higher Education
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","July, 2010",Royal Mail Pensions Trustees Ltd,To discuss  Royal Mail Pensions 
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2010",Universities UK,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2010",Royal Academy of Engineering,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2010",Logica,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010","University of London, Open University, Cambridge Assessment",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Universities UK,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Million+,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",GuildHE,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010","Institute of Cancer Research, Imperial College, UK Financial Investments Ltd, Association of the British Pharmaceutical Industry, Wellcome Trust, Medicines Discovery and Development",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Organisation for Economic Co-operation and Development (OECD),To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Russell Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",National Union of Students,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",NESTA,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010","Kings College London, London School of Economics, University of Sheffield, Institute of Education, National Institute of Economic and Social Research",To discuss skills
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Federation of Awarding Bodies and Joint Council for Qualifications,To discuss Further Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Dyson,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2010",Pearson,To discuss Further Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",Universities and Colleges Employers Association,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Institute of Education, Cardiff University, London School of Economics, Institute for Fiscal Studies, University of Sheffield, University of Southampton, National Institute of Economic and Social Research",To discuss skills
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",Confederation of British Industry,To discuss business issues
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",University Alliance,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Institute for Government, London School of Economics, National Institute of Economic and Social Research, Economic and Social Research Council (ESRC), Young Foundation, London School of Economics, Lancaster University, Office for National Statistics, Newcastle University, Kings College London, Cambridge University",To discuss departmental business
