Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,"April, 2011",Ontario Teachers’ Pension Fund,Introductory meeting
Martin Donnelly,"May, 2011",Universities UK,General catch up
Martin Donnelly,"May, 2011",Royal Mail,General catch up
Martin Donnelly,"May, 2011",Vodafone,Introductory meeting
Martin Donnelly,"May, 2011",Aga Khan,Introductory meeting
Martin Donnelly,"June, 2011",First Division Association,General catch up
Martin Donnelly,"June, 2011",National Grid,General catch up
Sir John Beddington,"April, 2011",BG Group,To discuss science
Sir John Beddington,"April, 2011",The Prince’s Charities Sustainability Unit,To discuss science
Sir John Beddington,"April, 2011",Academy of Medical Sciences,To discuss science
Sir John Beddington,"May, 2011",Unicamp,To discuss science
Sir John Beddington,"May, 2011",BG Group,To discuss science
Sir John Beddington,"June, 2011",Lloyds Register Group Ltd,To discuss science
Sir John Beddington,"June, 2011",Royal Academy of Engineering,To discuss science
Sir John Beddington,"June, 2011",Associated British Food,To discuss science
Sir John Beddington,"June, 2011",Prospect Union,To discuss science
