Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",85,78.4,264,241.4,483,453.9,43,40.7,3,2.9,2,1.3,880,819,8,8,0,0,0,0,1,0.2,9,8.2,889,827,"2,059,367.07","17,124.49",,"4,524.72","379,722.47","162,071.81","2,622,810.56","11,303.76","4,350.00","15,653.76","2,638,464.32",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,3.419,26,23.418,32,30.329,11,10.7,2,2,0,0,75,70,1,1,0,0,1,1,0,0,2,2,77,72,"189,528.87","4,532.21",594.1,433.24,"73,946.12","15,628.22","284,662.76","10,332.00",,"10,332.00","294,994.76",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",332,242.78,434,393.38,866,832.24,219,211.86,46,42.37,10,9.5,"1,907","1,732",20,18.29,1,0.8,7,7,3,2,31,28.09,"1,938","1,760","4,876,941.47","167,026.10","362,242.67","45,688.89","1,240,714.92","471,190.27","7,163,804.32","105,624.06","9,889.59","115,513.65","7,279,317.97",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",270,256.66,420,404.01,1141,1114.5,970,935.09,208,200.93,0,0,"3,009","2,911",92,92,32,32,109,109,102,102,335,335,"3,344","3,246","9,659,817.00","247,717.00","2,733.00","60,745.00","2,019,902.00","884,335.00","12,875,249.00","311,246.00","619,215.00","930,461.00","13,805,710.00",total CCL costs do not incude UKTI ccl costs
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,4,3.81,8,8,8,7.75,7,3.55,0,0,28,24,1,1,0,0,3,3,0,0,4,4,32,28,"115,154.00",500,,,"22,247.00","11,478.00","149,379.00","21,065.00",,"21,065.00","170,444.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",578,512.75,251,236.43,129,125.59,23,22.12,4,4,11,9.49,996,910,1,1,0,0,1,1,0,0,2,2,998,912,"1,812,990.72","13,715.35","113,349.40","5,137.92","317,293.11","137,232.99","2,399,719.49","1,853.06","8,965.50","10,818.56","2,410,538.05",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,5,14,13.44,34,34,52,49.99,17,16.73,0,0,122,119,9,9,3,3,2,2,0,0,14,14,136,133,"532,544.00",,"3,500.00",,"105,079.00","59,231.00","700,354.00","21,113.00",,"21,113.00","721,467.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",3,3,2,1.8,5,4.6,4,4,1,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"51,067.65",,,,"10,699.37","4,667.23","66,434.25",,,0,"66,434.25",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",398,364.2,675,659.9,239,236,25,25,7,7,0,0,"1,344","1,292",60,44.8,1,0.7,80,56.8,3,2,144,104.3,"1,488","1,396","3,133,124.64","332,454.11",,"30,444.70","198,217.27","271,641.83","3,965,882.55","112,171.00",,"112,171.00","4,078,053.55",The non payroll staff figure does not include specialist contractors at this point in time
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",46,43.7,17,15.5,77,70.5,23,19.6,3,3,0,0,166,152,2,2,3,3,0,0,4,3.3,9,8.3,175,161,"492,011.19",,,590.59,"87,091.73","41,064.57","620,758.08","23,892.36",,"23,892.36","644,650.44",
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",23,17.4,26,23.2,65,56.1,19,18.1,4,4,0,0,137,119,2,2,0,0,0,0,0,0,2,2,139,121,"317,678.00","5,311.00",,,"81,732.00","24,112.00","428,833.00","3,600.00",,"3,600.00","432,433.00",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",40,38.1,35,32.5,122,116.24,35,32.49,4,4,0,0,236,223,0,0,0,0,8,8,0,0,8,8,244,231,"612,982.12","5,082.86","8,426.00","1,903.47","157,748.95","50,003.07","836,146.47",,,0,"836,146.47",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,29,28,17,17,0,0,0,0,9,4,88,79,1,1,0,0,0,0,0,0,1,1,89,80,"223,712.00","10,568.00",,783,"44,659.00","20,140.00","299,862.00",,,0,"299,862.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,0,0,0,0,0,0,0,0,0,0,270,245,"731,755.79","3,418.69",,469.94,"143,940.94","63,837.79","943,423.15","7,643.94",,"7,643.94","951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",783,728.95,416,394.59,812,785.65,96,94.65,5,4.8,0,0,"2,112","2,009",95,95,0,0,32,32,0,0,127,127,"2,239","2,136","4,675,042.35","4,599.48",0,"21,745.56","887,561.73","355,841.83","5,944,790.95","600,012.25",,"600,012.25","6,544,803.20",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.4,9,8.1,5,5,0,0,27,26,0,0,0,0,7,1.2,0,0,7,1.2,34,27,"89,438.62",,,,"17,903.84","7,818.43","115,160.89","11,139.50",,"11,139.50","126,300.39",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",365,334.7,623,590.3,1649,1608.4,253,245.6,52,49.6,103,83.4,"3,045","2,912",28,28,27,27,11,11,3,3,69,69,"3,114","2,981","7,919,377.73","477,925.22",,"29,545.27","795,371.34","708,134.13","9,930,353.69","387,274.47","454,855.06","842,129.53","10,772,483.22",
