Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",86,79.2,261,238.7,492,463.4,43,40.7,3,2.9,2,1.3,887,826,10,10,0,0,0,0,1,0.2,11,10.2,898,836,"2,076,366.02","17,080.15",,"4,106.97","383,749.27","165,843.97","2,647,146.38","18,082.37","4,350.00","22,432.37","2,669,578.75",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,3.419,25,22.618,32,30.329,11,10.7,3,3,0,0,75,70,1,1,0,0,1,1,0,0,2,2,77,72,"192,435.09","3,873.70",594.08,336.27,"45,542.17","16,863.63","259,644.94","13,693.00",,"13,693.00","273,337.94",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",330,242.78,436,395.38,881,844.87,219,210.22,46,42.37,10,10,"1,922","1,746",21,20.29,1,0.8,7,7,3,2,32,30.09,"1,954","1,776","4,789,736.30","153,861.82",,"56,336.60","1,214,233.60","412,893.65","6,627,061.97","105,739.07","24,214.40","129,953.47","6,757,015.44",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",295,281.44,421,404.93,1128,1101.75,962,927.23,208,201.01,0,0,"3,014","2,916",95,95,32,32,99,99,95,95,321,321,"3,335","3,237","9,645,137.00","234,592.00","60,226.00","74,909.00","2,036,319.00","893,023.00","12,944,206.00","1,787,484.00",,"1,787,484.00","14,731,690.00",contingent labour costs include consultant costs also
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,4,3.81,8,8,8,7.75,7,3.55,0,0,28,24,1,1,0,0,3,3,0,0,4,4,32,28,"113,761.00",500,,,"21,141.00","11,335.00","146,737.00","9,886.00","2,413.00","12,299.00","159,036.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",583,519.2,247,233.19,131,127.33,22,21.47,4,4,10,8.68,997,914,1,1,0,0,1,1,0,0,2,2,999,916,"1,820,347.35","35,195.04",,"19,902.64","328,405.98","128,725.04","2,332,576.05","1,788.00","6,127.50","7,915.50","2,340,491.55",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,5,14,13.44,34,34,52,49.99,17,16.73,0,0,122,119,9,9,3,3,2,2,0,0,14,14,136,133,"532,544.00",,"3,500.00",,"105,079.00","59,231.00","700,354.00","21,113.00",,"21,113.00","721,467.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,4,3.6,4,4,1,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"51,198.22",,,,"10,789.60","4,797.14","66,784.96",,,0,"66,784.96",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",404,368.8,676,661.1,237,234.1,25,25,7,7,0,0,"1,349","1,296",48,43,1,1,84,78.1,4,3.6,137,125.7,"1,486","1,422","3,116,616.83","311,469.59",,"24,202.44","197,116.39","268,513.09","3,917,918.34","111,941.00",,"111,941.00","4,029,859.34",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",45,42.7,17,15.5,78,71,24,20.6,3,3,0,0,167,153,2,2,3,3,0,0,4,3.3,9,8.3,176,161,"494,773.02",,,266.77,"87,627.85","41,674.33","624,341.97","30,201.52",,"30,201.52","654,543.49",
Design Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",23,17.4,26,23.2,65,56.1,18,17.1,4,4,0,0,136,118,1,1,0,0,0,0,0,0,1,1,137,119,"317,120.00","4,995.00",,"2,340.00","82,988.00","23,404.00","430,847.00","1,800.00",,"1,800.00","432,647.00",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",40,38.1,35,32.5,123,117.24,35,32.49,4,4,0,0,237,224,0,0,0,0,8,8,0,0,8,8,245,232,"614,842.18","4,900.17","1,997.00","1,099.81","158,674.26","49,418.85","830,932.27",,"51,328.13","51,328.13","882,260.40",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,28,27,18,18,0,0,0,0,9,4,88,79,1,1,0,0,0,0,0,0,1,1,89,80,"219,966.00","7,808.00",,"1,093.00","44,790.00","19,426.00","293,083.00",,,0,"293,083.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,6,4.8,0,0,0,0,0,0,6,4.8,276,249,"731,755.79","3,418.69",,469.94,"143,940.94","63,837.79","943,423.15","7,643.94",,"7,643.94","951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",784,729.83,415,393.59,815,788.65,96,94.65,5,4.8,0,0,"2,115","2,012",100,100,0,0,33,33,0,0,133,133,"2,248","2,145","4,670,055.00","40,645.88",0,"21,382.02","879,825.80","354,085.62","5,965,994.32","389,362.65",,"389,362.65","6,355,356.97",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.4,9,8.1,5,5,0,0,27,26,0,0,0,0,7,1.2,0,0,7,1.2,34,27,"89,438.62",,,,"17,903.84","7,818.43","115,160.89","9,793.02",,"9,793.02","124,953.91",
