Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",89,81.2,251,231.1,500,470.7,42,39.6,3,2.9,2,1.3,887,827,11,11,0,0,0,0,1,0.2,12,11.2,899,838,"$2,086,836.45","$16,993.99",,"$4,502.65","$386,888.47","$165,075.34","$2,660,296.90","$14,339.84","$4,350.00","$18,689.84","$2,678,986.74",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,3.419,26,23.518,33,31.729,11,11,3,3,0,0,77,73,0,0,0,0,1,1,0,0,1,1,78,74,"$193,467.13","$3,674.58",$594.08,$290.92,"$48,508.00","$17,231.10","$263,765.81","$11,340.00",,"$11,340.00","$275,105.81",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",336,247.83,439,396.78,879,840.87,218,209.22,46,42.07,10,10,"1,928","1,747",18,17.59,1,0.8,8,8,3,1.4,30,27.79,"1,958","1,775","$4,848,152.02","$152,555.25","$71,344.50","$59,210.02","$1,232,594.96","$420,282.26","$6,784,139.01","$115,272.68","$51,225.80","$166,498.48","$6,950,637.49",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",297,283.37,415,399.49,1130,1105.03,960,926.28,206,199.27,0,0,"3,008","2,913",83,83,35,35,96,96,98,98,312,312,"3,320","3,225","$9,662,061.00","$229,433.00","$11,033.00","$58,873.00","$2,014,243.00","$887,086.00","$12,862,729.00","$260,072.33","$600,979.00","$861,051.33","$13,723,780.33",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",2,1.5,4,3.81,8,8,8,7.75,7,3.55,0,0,29,25,1,1,0,0,3,3,0,0,4,4,33,29,"$115,267.00",$500.00,,,"$21,264.00","$11,443.00","$148,474.00","$26,790.00","$1,150.00","$27,940.00","$176,414.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",584,520.2,248,234.19,131,127.33,22,21.47,4,4,7,5.68,996,913,1,1,0,0,1,1,0,0,2,2,998,915,"$1,813,357.19","$85,090.13",,"$14,250.24","$330,695.19","$130,057.99","$2,373,450.74","$1,310.84","$7,777.50","$9,088.34","$2,382,539.08",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,5,14,13.44,34,34,53,51.1,18,17.73,0,0,124,121,9,9,3,3,1,1,0,0,13,13,137,134,"$525,704.00",,"$3,500.00",,"$106,891.00","$61,187.00","$697,282.00","$21,481.00",,"$21,481.00","$718,763.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,4,3.6,3,3,1,1,0,0,14,13,0,0,0,0,0,0,0,0,0,0,14,13,"$50,308.76",,,,"$10,622.38","$4,707.45","$65,638.59",,,$0.00,"$65,638.59",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",407,373.6,671,655.9,235,232.1,26,26,7,7,0,0,"1,346","1,295",92,75.3,1,0.8,63,28.9,4,3.5,160,108.5,"1,506","1,403","$3,128,201.45","$360,377.18",,"$19,034.16","$194,336.14","$270,291.07","$3,972,240.00","$83,285.90",,"$83,285.90","$4,055,525.90",contingent labour costs do not include specialist contractor costs at this time
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",45,42.7,18,16.5,75,68,23,19.6,3,3,0,0,164,150,3,3,3,3,0,0,4,3.3,10,9.3,174,159,"$475,789.18",,,$209.22,"$84,286.03","$39,712.97","$599,997.40","$40,704.36",,"$40,704.36","$640,701.76",
Design Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",23,17.4,26,23.2,65,56.1,18,17.1,4,4,0,0,136,118,1,1,0,0,0,0,0,0,1,1,137,119,"$316,107.00","$4,995.00","$4,068.00",$535.00,"$82,544.00","$22,805.00","$431,054.00","$1,800.00",,"$1,800.00","$432,854.00",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",43,41.1,34,32.19,125,119.24,35,32.49,4,4,0,0,241,229,0,0,0,0,8,8,0,0,8,8,249,237,"$636,614.95","$3,584.11","$1,275.00","$1,704.32","$16,055.42","$47,141.49","$706,375.29",,"$60,810.82","$60,810.82","$767,186.11",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,27,26,18,18,0,0,0,0,9,4,87,78,0,0,0,0,0,0,0,0,0,0,87,78,"$217,204.00","$7,841.00",,$621.00,"$44,377.00","$19,082.00","$289,125.00",,,$0.00,"$289,125.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,$0.00,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,6,4.8,0,0,0,0,0,0,6,4.8,276,249,"$731,755.79","$3,418.69",,$469.94,"$143,940.94","$63,837.79","$943,423.15","$7,643.94",,"$7,643.94","$951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",782,727.91,416,394.93,821,793.94,97,95.52,5,4.8,0,0,"2,121","2,017",101,101,0,0,34,34,0,0,135,135,"2,256","2,152","$4,663,708.91","$2,623.88",$0.00,"$12,379.42","$880,057.29","$350,706.32","$5,909,475.82","$379,846.96",,"$379,846.96","$6,289,322.78",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
