Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",97,87.5,238,220.5,520,491.1,39,37.1,3,3,2,1.3,899,841,7,7,0,0,0,0,1,0.25,8,7.25,907,848,"2,074,669.00","17,822.20",,"4,559.88","380,751.32","164,460.34","2,642,263.23","14,166.00","6,375.00","20,541.00","2,662,804.23",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,4.4,29,27.61,31,29.85,11,10.31,4,4,0,0,80,76,1,1,0,0,2,2,0,0,3,3,83,79,"206,487.30",189.92,"22,626.22","3,745.97","46,293.33","21,976.59","301,319.33","22,448.75",,"22,448.75","323,768.08",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",351,259.53,475,431.3,918,880.77,217,209.22,46,43.08,13,13,"2,020","1,837",21,19.3,0,0,6,6,6,2.3,33,27.6,"2,053","1,865","4,774,951.00","128,494.10","83,953.96","65,260.88","1,234,172.76","410,784.28","6,697,616.98",,,0,"6,697,616.98",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",322,305.8,469,450.4,1225,1193.7,1061,1023,214,206.9,0,0,"3,291","3,180",62,62,38,38,70,70,100,100,270,270,"3,561","3,450","10,051,580.00","246,923.00","1,805.00","77,651.00","2,109,195.00","918,870.00","13,406,024.00",,"37,051.00","37,051.00","13,443,075.00",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,4,3.81,4,4,6,5.75,7,3.55,0,0,22,18,1,1,0,0,3,2.2,0,0,4,3.2,26,22,"88,714.00",500,,,"17,669.00","14,424.00","121,307.00","9,578.00","14,066.00","23,644.00","144,951.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",687,603.32,274,259.5,140,136.59,28,27.13,4,4,0,0,"1,133","1,031",1,1,0,0,0,0,2,2,3,3,"1,136","1,034","2,013,675.00","31,623.28",,"16,339.41","361,676.61","139,254.82","2,562,569.12","1,613.63","13,787.50","15,401.13","2,577,970.25",Trading Fund
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,17,16.44,32,30.83,53,51.73,17,16.9,0,0,123,120,3,3,2,1.78,0,0,0,0,5,4.78,128,125,"530,252.00",,"2,000.00",,"102,105.00","49,134.00","683,491.00","16,314.00",,"16,314.00","699,805.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,4,3.6,4,4,1,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"52,942.55",,,,"11,117.53","4,922.78","68,982.86",,,0,"68,982.86",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",355,323.4,661,647.3,222,219.7,27,27,7,7,0,0,"1,272","1,224",80,67.97,3,1.75,63,25.01,3,2.51,149,97.24,"1,421","1,322","3,003,254.00","308,308.90","1,500.00","12,313.29","192,909.38","269,404.27","3,787,689.84",,,0,"3,787,689.84",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",41,39.5,20,19.3,68,64.2,24,23,3,3,0,0,156,149,3,3,4,3.8,0,0,3,0.3,10,7.1,166,156,"480,536.00",,,441,"86,604.00","40,764.00","608,345.00","44,909.00",,"44,909.00","653,254.00",
Design Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,0,,,0,0,
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,0,,,0,"699,805.00"
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,0,,,0,0
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",24,20.6,24,22.4,65,55.6,18,17.4,4,4,0,0,135,120,1,1,0,0,1,1,0,0,2,2,137,122,"319,674.40","5,037.83",,"1,246.15","80,869.19","26,900.78","433,728.35","5,340.52",,"5,340.52","439,068.87"
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",50,44.3,35,33.19,135,128.01,37,34.49,4,4,0,0,261,244,0,0,0,0,8,8,0,0,8,8,269,252,"659,927.30","3,775.07",,"1,322.00","172,906.33","68,719.18","906,649.88",,"57,775.06","57,775.06","964,424.94"
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,"57,775.06","964,424.94"
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,"683,491.00",,,"57,775.06","964,424.94"
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",9,6.38,33,27.03,175,159.11,44,43.39,5,4.41,0,0,266,240,6,4.4,0,0,0,0,0,0,6,4.4,272,245,"758,110.60","2,622.79",,302.94,"148,769.05","66,096.62","975,902.00","8,404.73",,"8,404.73","984,306.73"
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",985,914.9,516,491.24,964,926.06,114,112.17,5,4.8,0,0,"2,584","2,449",79,79,0,0,35,35,0,0,114,114,"2,698","2,563","5,124,105.00","61,825.60",600,"3,181.10","966,110.61","461,377.38","6,617,199.69","303,207.17",,"303,207.17","6,920,406.86"
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.2,10,9.9,4,4,0,0,27,26,0,0,1,0.7,10,2,0,0,11,2.7,38,29,"87,634.97",,,,"17,461.62","7,247.55","112,344.14",,,0,"112,344.14"
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",418,380.37,606,581.26,1739,1693.65,269,263.44,57,54.15,123,78.66,"3,212","3,096",78,19.5,5,4.8,3,3,6,6,92,33.3,"3,304","3,129","8,996,661.00","438,847.60",,"24,779.54",,,"9,460,288.14",,,0,"9,460,288.14"
