Leavers,,,,,,,,,,,,,,,,,,,,,,,,,

"There was a voluntary early exit scheme in the autumn of 2010, in which 330 staff left the department. ",,,,,,,,,,,,,,,,,,,,,,,,,




,Leavers workforce data between 1 Apr 2010 - 31 March 2011       Total headcount =  498,,,,,,,,,,,,,,,,,,,,,,,,

,,Normal Retirement,,,,,,,,Severance and Early Retirement,,,,,,,,Resignations,,,,,,,
,,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,SCS,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,SCS,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,SCS
Gender,Male,*,*,*,*,*,10,6,*,0,10,25,32,30,44,24,12,*,*,*,17,*,13,*,12
,Female,0,*,*,*,*,*,*,0,*,21,32,32,20,32,12,*,*,*,10,13,*,*,*,*
Assignment Catergory,Full time,*,*,*,*,*,12,*,*,*,23,47,58,43,63,32,18,*,*,19,28,*,18,*,14
,Part time,0,*,0,*,*,0,0,0,*,*,10,*,*,*,*,*,0,0,0,*,*,*,*,*
Ethnic Origin,White,0,*,*,*,*,*,*,*,*,14,24,29,28,44,20,14,0,0,*,*,*,*,*,*
,BME,0,*,0,*,0,*,*,0,0,*,16,12,*,*,*,*,0,0,0,*,0,0,0,0
,Not Declared,*,*,*,*,*,*,*,*,0,*,17,23,19,30,13,*,*,*,17,24,*,16,*,*
Disability,Disabled,0,*,*,*,0,0,*,0,*,*,*,10,11,*,*,0,0,0,0,*,0,0,0,*
,Not Disabled,*,*,*,*,*,11,*,*,*,21,47,52,36,58,31,17,*,*,*,16,*,13,*,12
,Not Declared,0,0,0,0,0,*,0,0,0,*,*,*,*,*,*,*,*,*,13,12,*,*,*,*
Sexual Orientation,Declared,0,*,*,*,*,*,*,*,0,*,*,13,19,19,*,*,0,0,*,*,0,*,*,*
,Not declared,*,*,*,*,*,10,*,*,*,26,49,51,31,57,30,15,*,*,18,28,*,17,*,15
Religion or Belief,Declared,0,*,*,*,*,*,*,*,0,*,10,13,16,17,*,*,0,0,*,*,0,*,*,*
,Not Declared,*,*,*,*,*,10,*,*,*,24,47,51,34,59,29,15,*,*,18,28,*,17,*,15
Age,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
,20-29,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,*,14,13,0,*,*,0
,30-39,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0,0,*,*,*,14,*,12,*,*
,40-49,0,0,0,0,0,0,0,0,*,10,25,23,*,17,*,*,*,*,0,*,*,*,*,*
,50-59,0,0,*,0,*,*,*,0,0,19,26,34,39,52,27,16,*,0,0,*,0,*,0,*
,60-64,*,*,*,*,*,*,*,*,0,0,*,*,*,*,*,0,*,0,0,0,0,0,0,*
,65 & over,0,*,*,*,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,*Less than 10 staff showing 
