FREEDOM OF INFORMATION,,
MOD Requests to 02 March 2012,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
06-02-2012-092013-001,02/03/2012,Please advise whether MOD hold any information on wrens that served at Anthony House during WWII. 
06-02-2012-103432-001,02/03/2012,"Please provide information and details on the amount paid by MOD, by way of business rates, on vacant MOD property/accommodation for 2007/8, 2008/9, 2009/10, 2010/11 and 2011/12."
06-02-2012-104108-002,02/03/2012,"Please advise, and provide information and details, on the number of British servicewomen that have been sent home from Afghanistan and other areas of operations after becoming pregnant in the years 2010 and 2011."
06-02-2012-104642-002,05/03/2012,Please advise on changes that have occurred to the wreck of HMS Victory 1744 since it was first discovered by Odyssey Marine Exploitation in 2009. 
06-02-2012-104744-003,02/03/2012,"Please provide copies of the Resource and Account reports for 2004/5, 2005/6 and 2006/7. Please provide information and details of all PFI and PPP private firms used by MOD from 2000 - 2011. "
06-02-2012-115854-004,02/03/2012,"Please advise, and provide information and details, on MOD's use of the Milner Field site, Yorkshire. "
06-02-2012-120313-005,02/03/2012,Please provide information on RAF personnel that have fallen since 2007.
06-02-2012-121325-006,02/03/2012,"Please advise, and provide information and details, on the total number of individuals on operations in Iraq between 2003 - 2011 tested for uranium in their urine, given an isotope test and found to be excreting depleted uranium."
06-02-2012-122128-007,02/03/2012,Please advise on the correct position/description of CS gas. 
06-02-2012-125204-003,29/02/2012,Please provide copies of NI operational summaries from January - April 1992 and January - August 1994. 
06-02-2012-130812-001,02/03/2012,"Please advise, and provide information and details to various questions regarding the UK's military assistance to Nigeria."
06-02-2012-134220-001,05/03/2012,Please advise on the number of technical Broader Banded C1s and C2s in the RDP.
06-02-2012-140253-002,05/03/2012,"Please advise, and provide information and details, to various questions regarding the personnel in the RDP.  "
06-02-2012-150720-009,02/03/2012,Please advise on the latest roadside bomb attack in Afghanistan that injured any British troops. 
06-02-2012-151810-011,02/03/2012,Please provide information and details on the Croatian military offensive Operation Storm that took place in August 1995. 
06-02-2012-152739-012,05/03/2012,Please provide information on the current status of the MDPGA's investigation into the SDSR leak. 
06-02-2012-153310-013,05/03/2012,Please provide copies of pictures of Prince Williams in the Falklands. 
06-02-2012-154505-014,05/03/2012,Please advise on whether there has ever been a 'dig' licence issued for the archaeological excavation of the crash site of the American P38G Lightning of 71st Fighter Squadron 1st Fighter Group based at RAF Debden. 
06-02-2012-161054-015,05/03/2012,"Please provide transcripts and copies of all communications between MOD Andover (Defence Fire Service Executive) and the Defence Fire Training and Development Centre Manston regarding The Fire Strategy Company and its endeavour to provide civil aviation firefighter training at DFTDC Manston, between 2008 and end of 2011. "
06-02-2012-161443-016,05/03/2012,Please provide information on every callout detailed in DASA's Search and Rescue Annual reports from 1 January - 31 December 2011. 
06-02-2012-161624-017,05/03/2012,"Please advise on whether there are any high security microwave links that may affect this development of the wind farm proposal in Dorcas Lane, Stoke Hammond for four  125m turbines by Force 9 Energy for EDF that is lodged with Aylesbury Vale District Council."
06-02-2012-164225-018,05/03/2012,Please provide information and details on the UK-High Wycombe: Miscellaneous Services contract won by Serco in 2008. 
07-02-2012-100926-002,06/03/2012,"Please advise, and provide information and details, to various questions regarding game shooting clubs organised/administered by either the Army, Navy or RAF. "
07-02-2012-101716-003,06/03/2012,"Please advise, and provide information and details, on the number of Armed Service Personnel and police who will be on duty during the 2012 Olympic Games in London and associated costs."
