FREEDOM OF INFORMATION,,
MOD Requests to 02 September 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
01-08-2011-095628-001,26/08/2011,Please provide information and details on the launch of the new PhD scheme.
01-08-2011-101225-002,26/08/2011,"Please advise, and provide information and details, to various questions regarding the annual reported cases of post traumatic stress disorder for all three services from 2000-present."
01-08-2011-102719-003,26/08/2011,"Please provide a copy, along with any correspondence, of the ministerial direction regarding the Basra Memorial Wall."
01-08-2011-103203-004,26/08/2011,Please provide a copy of the Hercules Airworthiness Review Team (HEART) report.
01-08-2011-111518-001,30/08/2011,Please advise on what information has been redacted from the NART report. 
01-08-2011-111709-005,26/08/2011,"Please advise on the Assyrian peoples association with the British Armed Forces in the Middle East and their contribution during WWI, WWII and up until 1960. "
01-08-2011-111901-002,30/08/2011,Please provide a copy of the nay cover letter issued by I of FS(RAF) to tasking bodies of ACAS and AML(CE)
01-08-2011-112716-006,26/08/2011,"Please advise on the number of recruit injuries, during training, resulting in permanent or temporary discharge, or back trooped, over the last three years."
01-08-2011-114808-007,30/08/2011,Please advise on MOD expenditure for the use and exclusive right of way for the camp access road Kerslake Way which is owned by Firwood Homes Ltd.
01-08-2011-140055-008,30/08/2011,"Please advise, and provide information and details on Ship Eddystone."
01-08-2011-153312-009,30/08/2011,"Please advise, and provide information and details, on the number of dogs and horses currently serving in the British Armed Forces."
01-08-2011-162142-011,30/08/2011,Please advise on the number of injured service personnel that live in the South West of England.
01-08-2011-163616-012,30/08/2011,"Please provide a copy of the winning bid for the contract for Digital Barometers: Reference number: P010259. Awarded to: VAISALA OYJ, P.O. BOX 26, FIN-00421, HELSINKI, FINLAND, FIN004."
01-08-2011-163716-001,11/08/2011,"Please advise, and provide information, on the number of War Pensions currently being paid for pleural plaques."
01-08-2011-164325-013,30/08/2011,Please provide copies of the briefing meetings between Liam Fox and/or senior military officials with 'the Rupert Murdoch family' and their representatives.
01-08-2011-164342-014,26/08/2011,"Please provide statistical information on the amount spent on music, music training and music related activities by the MOD/UK Armed Forces and how this compares to the same information for the previous 20 years."
01-08-2011-164509-015,26/08/2011,"Please advise, and provide information and details, to various questions regarding the number of resignations under duress."
01-08-2011-170537-016,30/08/2011,"Please advise, and provide information and details, on the amount of compensation paid in ex-gratia payments for personal loss, injury or death to victims and/or their families who have been adversely affected by Britain's role in the Falklands War"
02-08-2011-081032-001,26/08/2011,Please provide information on the Martinet aircraft crash on 18 January 1944.
02-08-2011-115017-001,31/08/2011,"Please advise, and provide information and details, to various questions regarding the RAF search and rescue helicopters being deployed between 2008 and 2011. "
02-08-2011-115915-001,30/08/2011,"Please provide information on the snowfall and temperature records for Leeds, West Yorkshire, from December 2009 to January 2010.  "
02-08-2011-150122-002,31/08/2011,Please advise on the value of contracts awarded since 1 April 2009 against the FATS 3 Narrow Area Numbers.
02-08-2011-150835-003,31/08/2011,Please advise on the percentage of new recruits to the Army that complete their basic training and go on to serve in a Regiment from 2005 to date.
02-08-2011-154141-004,31/08/2011,"Please advise on MOD's procurement, including imports, of parts and accessories of firearms and light weapons for the Armed Forces. "
02-08-2011-163204-006,31/08/2011,Please advise on MOD's total expenditure paid on Facility Time and time spent on Trade Union activities.
02-08-2011-163658-007,31/08/2011,"Please advise, and provide information and details, to various questions regarding FSTA costs."
02-08-2011-164329-008,31/08/2011,Please provide information and details on the court martial hearing for Lt Col D M IVISON (xxxxxx).
02-08-2011-181941-009,26/08/2011,"Please advise, and provide information and details, to various questions regarding VERS applications made by MDPGA personnel."
03-08-2011-100427-001,30/08/2011,"Please advise on the accessibility of detailed maps of Goose Green, Mt Harriet, Two Sisters and several other sites connected with the Falklands conflict. "
03-08-2011-102441-002,31/08/2011,"Please provide information on the definition of ""killed in action"" and /or ""killed on duty"" and just ""died"" for the Auxiliary Territorial Service in WWII."
03-08-2011-103815-003,25/08/2011,"Please advise, and provide information and details, to various questions regarding the Army Recovery Capability."
03-08-2011-104544-004,01/09/2011,"Please advise, and provide information and details, to various questions about Operation Pennant and Operation Burgee atomic bomb tests in 1958."
03-08-2011-125421-001,24/08/2011,"Please advise, and provide information, on the MOD's and NATO's requirements for wool knitted berets."
03-08-2011-142658-007,03/08/2011,Please advise on the performance of the Type 45 Destroyers from their launch - present.
03-08-2011-150737-001,22/08/2011,Please provide information and details on Project Phoenix SPPT/010 - RM 858
03-08-2011-154332-008,31/08/2011,Please advise on the number of anonymous complaints received about Whitehall officers in the last year.
03-08-2011-155317-010,01/09/2011,"Please advise, and provide information and details, to various questions regarding RAF Cranwell (RNAS HMS Daedalus) former Cranwell Sleaford Railway Line in Lincolnshire.  "
03-08-2011-161732-011,01/09/2011,Please advise and provide a yearly breakdown on the number of FOI requests received since 2005.
04-08-2011-090426-001,01/09/2011,Please provide information on xxxxxx security clearance while in the Armed Forces.
04-08-2011-111519-001,01/09/2011,"Please advise, and provide information and details, on the number of anticipated MOD staff days that will be spent on work relating to Defence and Security Equipment International 2011. "
04-08-2011-112438-002,01/09/2011,Please provide information and details on UFO phenomena held by the MOD.
04-08-2011-115757-002,01/09/2011,Please provide copies of QRRN articles approximately dated from 1980.
04-08-2011-121617-003,02/09/2011,Please provide copies of the minutes of the Investment Approvals Board which considered the future of the Project Vanguard contract in support of the Defence Training Estate.
04-08-2011-125506-004,02/09/2011,Please advise on the campaign and issue of a military watch.
04-08-2011-130319-005,02/09/2011,"Please provide a copy, along with details and information, of the MOD's organisational map."
04-08-2011-134233-003,02/09/2011,"Please provide information on the casualty figures for British Forces for WWI, WWII, The Falklands, Northern Ireland, Kosovo, Iraq and Afghanistan."
04-08-2011-145906-002,02/09/2011,Please provide information on the weather recorded in the Aberdeen area between 21:00 and 23:00 on 17 November 1997. 
04-08-2011-150727-003,02/09/2011,"Please advise, and provide information and details, to various questions regarding bonuses paid out during the FY 2010/11."
04-08-2011-152216-004,02/09/2011,"Please advice, and provide information and details, on the number of FOI requests received over the last two years."
04-08-2011-153415-005,02/09/2011,Please provide a copy of the Command letter sent from the Army Council setting out the rules for the allocation of the Silver Jubilee medals.
04-08-2011-153954-006,02/09/2011,Please provide information on Lance Bombardier Ernest Dobson.
04-08-2011-154334-007,02/09/2011,"Please provide advise on the airbases which routinely fly over Hanslope, Buckinghamshire."
04-08-2011-161927-001,02/09/2011,"Please advise, and provide information and details, to various questions regarding VERS applications made by MDPGA staff."
