FREEDOM OF INFORMATION,,
MOD Requests to 29 July 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
04-07-2011-102152-001,28/07/2011,"Please provide details of the top twenty contractors receiving payments from MOD against contracts awarded on a non-competitive basis, and the aggregate value of sums paid to the contractors for non-competitive work during a financial year."
04-07-2011-103042-002,01/08/2011,Please provide information on the level of commonwealth soldiers in the British Army and a breakdown of the numbers of soldiers from each Commonwealth country and faith.
04-07-2011-113610-001,29/07/2011,"Please advise, and provide information and details, on the number of MEPs arrested from January 2008 - present. "
04-07-2011-122359-002,01/08/2011,"Please provide information, and a breakdown by grade, on the number of 11/12 VERS application for the MOD Police and Guarding Agency."
04-07-2011-144531-003,01/08/2011,"Please advise on the cost of Project Hadrian, associated costs (i.e. consultants or technical support (e.g. via the FATS contract)) and its completion date."
04-07-2011-151609-004,01/08/2011,Please advise on MOD expenditure on flooring in the last five years.
04-07-2011-152520-005,20/07/2011,Please provide information on foreign operations for encouraging Libyan people sublevation to the regime of Moammar Khadaffi.
04-07-2011-153900-001,01/08/2011,Please advise and provide information on the US - UK stocktake joint meeting held in July 2008. 
04-07-2011-154626-006,29/07/2011,"Please provide information on the consideration to costs, benefits and disadvantages to the UK, of the Galileo satellite navigation system since January 2011."
04-07-2011-162338-007,01/08/2011,"Please provide information on the former military property at Benone, Magilligan, Northern Ireland."
05-07-2011-085243-001,01/08/2011,"Please advise on the percentage of Deputy Senior Air Traffic Controller appointments within the Royal Air Force, during 2002 - 2007, that were subsequently promoted to Sqn Ldr and vice versa. "
05-07-2011-094552-001,01/08/2011,Please advise and provide information on fees paid to various external advisory firms over the last five years.
05-07-2011-100203-001,01/08/2011,"Please provide information on the latest DASA indices, Manufacture of Aircraft & Spacecraft information for QTR 1-4 for years 2010 & 2011"
05-07-2011-100759-002,01/08/2011,Please advise on the number of MOD police officers that have made a claim for loss of hearing due to the use of firearms between 2000-2010.
05-07-2011-101000-002,26/07/2011,Please provide a copy of the RMP report into allegations of bullying made by xxxxxx in 2008 that had been endured in the 1990s.
05-07-2011-101619-003,01/08/2011,Please provide information and details on the results of the pre and post deployment objective hearing tests for soldiers returning from Afghanistan in the last nine years.
05-07-2011-101922-004,01/08/2011,Please advise on the lowest score for an RAF trade where the rank/trade was up banded to the higher pay band following job evaluation.
05-07-2011-104022-001,01/08/2011,"Please advise, and provide information and details, on the construction work/building projects that have taken place at RAF Lossiemouth since 20 October 2010"
05-07-2011-104315-005,02/08/2011,Please provide a copy of the drawings of the original design of the contaminated lagoon at the training facility on Horsea Island. 
05-07-2011-111953-007,02/08/2011,Please provide a copy of the MAAs for the Tornado GR4A ZG710.
05-07-2011-112748-008,02/08/2011,Please advise and provide information to various questions regarding the Queens Guard and the Queens Life Guard.
05-07-2011-113149-002,28/07/2011,Please provide information on the SS Canberra in the Falklands conflict in 1982.
05-07-2011-113308-009,02/08/2011,Please provide information on the considerations given to DFM and other B2 VERS applications in the DFM and FMSSC area.
05-07-2011-114903-010,02/08/2011,Please advise and provide information to various questions regarding Equality and Diversity matters.
05-07-2011-124952-011,01/08/2011,Please advise on the average age of death of civil servants who have died whilst claiming their Civil Service Pension from 1991.
05-07-2011-133602-012,02/08/2011,Please provide information on the year of manufacture or alternatively the year it was taken into service for the trailer Sankey Mk2
05-07-2011-134851-002,27/07/2011,Please provide a copy of the Airworthiness Review Team report dated 24 June 1998.
05-07-2011-140648-013,02/08/2011,Please advise how a copy of the QR's Queens Rules and Regulations can be obtained.
05-07-2011-140652-003,01/08/2011,Please advise on the number of MOD police officers referred to CAPITA for failing a qualification shoot in the past year and have had their suitability as an AFO questioned.
05-07-2011-141449-014,02/08/2011,"Please advise on the number, locations and dates of UFO Sightings and/or reports of alien abduction in the UK over the last 10 years."
05-07-2011-150906-015,02/08/2011,Please advise and provide information to various questions regarding the MK4B4L helmet and Chinook Mk2/2A/3.
05-07-2011-164000-017,02/08/2011,Please provide design briefs for toy ranges endorsed by the MOD.
05-07-2011-164801-018,02/08/2011,Please advise on the accessibility of DEFE 44/446.
06-07-2011-083120-001,04/07/2011,Please advise on the number of UK MOD black smoke burns between 2007 and 2011 that were completed with the necessary permission from the Environment Agency and requisite risk assessments.
06-07-2011-100126-002,02/08/2011,Please provide information on all communication between the Duke of York or anyone acting on his behalf and the Secretary of State for Defence.
06-07-2011-100541-001,02/08/2011,"Please provide a detailed breakdown of MOD expenditure during FY 2010/2011 on travel, food and drink, electrical Items, decoration, legal advice and stationary."
06-07-2011-100913-002,02/08/2011,"Please provide a detailed breakdown of MOD expenditure during FY 2010/2011 on First Class travel, taxis, ministerial cars, flights, food and drink, electrical Items, mobile devices and legal advice."
06-07-2011-101238-003,02/08/2011,"Please provide a detailed breakdown of MOD expenditure during FY 2010/2011 on long haul flights, food and drink, electrical Items, decorations, soft furnishings and stationery."
06-07-2011-102319-004,02/08/2011,Please provide a detailed breakdown of the estimated cost of redundancies across non-departmental bodies in MOD in 2011-12 and over the spending review period.
06-07-2011-102630-005,02/08/2011,Please provide a detailed breakdown of the estimated cost of redundancies in MOD in 2011-12 and over the spending review period.
06-07-2011-103148-006,02/08/2011,"Please advise, and provide information and details, on the hearing protection and noise abatement measures for Chinook aircraft in light of the Noise and Vibration Division Assessment carried out in February 2006. "
06-07-2011-103541-007,02/08/2011,Please advise on the information held by the Helicopter Strategy and Governance Team within Defence Equipment and Support that suggests that the new mini-CEP's will mean that Chinook aircrew will not be exposed beyond the limit values defined by the Noise Regulations 2006
06-07-2011-103835-008,02/08/2011,"Please provide a copy of the plan/layout of the hospital and surround grounds for Milton Barracks, Gravesend, Kent."
06-07-2011-104259-009,02/08/2011,Please provide a copy of the minutes of any Board of Inquiry into the death of Pte Gary Albert Barlow killed in Northern Ireland on 5 March 1973.
06-07-2011-104809-010,03/08/2011,"Please advise on the decision by the Capability Development not to take immediate action to investigate and procure better hearing protection and noise abatement measures for Chinook aircraft, in light of the Noise and Vibration Division Assessment carried out in February 2006."
06-07-2011-114225-011,03/08/2011,"Please provide details for each construction project that the MOD is involved in which is currently underway or which is due to start before 2013 and also has a total cost of at least £1,000,000. "
06-07-2011-120116-001,10/05/2011,Please provide a copy of the HMS Conqueror's Patrol Report/Report of proceedings and all supporting Annexes for Operation Corporate
06-07-2011-120242-012,03/08/2011,"Please provide a breakdown of all cash withdrawals on government procurement cards since 2006, including the name of the official who made the withdrawal, the date, the amount and, if provided, the reason."
06-07-2011-145709-013,03/08/2011,"Please advise on the cost and number of EU, NATO and Commonwealth flags owned by the MOD."
06-07-2011-164518-014,03/08/2011,Please advice on Severance Pay and Pension entitlement. 
06-07-2011-165648-015,03/08/2011,"Please advise, and provide information, on the Unit Post Orderly Course held at Deepcut in Camberly."
06-07-2011-170131-016,03/08/2011,Please advise on the number of days and dates during 2011 that Prince William/Duke of Cambridge has been present to undertake duties as an RAF officer at his current posting in Wales.
06-07-2011-170950-017,03/08/2011,Please provide details of all meetings that have taken place between ministers and Special Advisers between and representatives from various external newspaper bodies between 1 May 1997 and 5 May 2010.
06-07-2011-171952-018,03/08/2011,Please provide quarterly data for government expenditure on defence from Q1 1998 to the last quarter of 2010.
07-07-2011-101823-001,03/08/2011,Please advise and provide information on the declaration of the Gulf War in 1991.
07-07-2011-102401-002,03/08/2011,Please provide a copy of the official Royal Navy enquiry or findings into the death of Donald English.
07-07-2011-102841-003,03/08/2011,"Please provide information on the number, post details and grades of staff in the MOD FOI Team for 1 January and 1 July for 2009, 2010 and 2011."
07-07-2011-103332-004,03/08/2011,"Please advise, and provide information, on when the decision was taken to cease publication of Part 1 of the Army List."
07-07-2011-104502-005,04/08/2011,Please advise on the number of applications received and the number of VERS applications that were successful and not successful.
07-07-2011-110751-001,04/08/2011,Please advise on the eligibility criteria for joining the Royal Air Force.
07-07-2011-142250-006,04/08/2011,"Please advise on the number of senior civil servants, at Permanent Secretary level and below, that have received honours or have been dismissed in the last few years."
07-07-2011-145139-007,04/08/2011,Please provide information on the Framework Agreement Contract Office Supplies: UK-Aldershot: clinical-waste collection services
07-07-2011-145619-008,04/08/2011,Please provide information on the Framework Agreement Contract Office Supplies: UK-Bristol: repair and maintenance services of aircraft
07-07-2011-150105-009,04/08/2011,Please provide information on the Framework Agreement Contract Office Supplies: UK-Gloucester: provision of repatriation services
07-07-2011-150514-010,04/08/2011,"Please provide information on the Framework Agreement Contract Office Supplies: UK-Shrivenham: exhibition, fair and congress organisation services"
07-07-2011-150840-011,04/08/2011,Framework Agreement Contract Office Supplies: UK-Wilton: provision of language courses.
07-07-2011-151512-012,04/08/2011,Please provide a breakdown of all taxi journeys made by ministers in the past 18 months using the official Addison Lee taxi account.
07-07-2011-153503-013,04/08/2011,"Please advise, and provide information and details, on the number of civilian staff suspended for disciplinary reasons over the last five years."
07-07-2011-172215-014,04/08/2011,Please provide information on Michael Dugher's application to the MOD under 'The Business Appointment Rules for Civil Servants' relating to his decision to work as a lobbyist for EDS.
08-07-2011-082347-001,04/08/2011,Please provide information on all correspondence regarding the centralisation of weapons and ammunition storage with the ACO.
08-07-2011-112330-001,04/08/2011,Please provide information and details on Canadian naval personnel who have received the Distinguished Service Cross.
08-07-2011-113727-001,04/08/2011,Please provide information on the Intake and Outflow figures for the RAF Regiment and Parachute Regiment.
08-07-2011-113943-002,05/08/2011,Please advise on the number of 'back-logged' service complaints and the measures put in place to manage them.
08-07-2011-121142-003,05/08/2011,Please advise on numbers and ranks of the Royal Marines.
08-07-2011-091341-001,12/07/2011,Please advise in the number of military personnel detained at Military Correction Training Centres.
08-07-2011-140010-002,02/08/2011,Please advise on the number of flying hours involved in AAR and AT operations and projected costs.
08-07-2011-142257-002,05/08/2011,"Please advise on the number of VERS applications made by MDPGA staff, the number of successful and unsuccessful applications and the criteria used for considering MDPGA VERS applications. "
08-07-2011-145604-004,05/08/2011,Please provide information on the recently decommissioned Ark Royal.
08-07-2011-151006-005,05/08/2011,Please provide information on flight authorisation and flight time sheets for any flights for the use of stratospheric aerosol injection and/or low-level cloud `whitening' and/or cloud seeding or any other RAF flights for geo-engineering testing/experiments.
08-07-2011-155825-006,05/08/2011,"Please advise, and provide information and details, on the number of sorties that the Reaper UAV Predator has flown in Afghanistan since September 2010."
