FREEDOM OF INFORMATION,,
MOD Requests to 01 July 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
31-05-2011-092126-001,27/06/2011,Please provide information on any UFO information that has been logged for St.Helens over the past 30 years.
31-05-2011-092823-002,27/06/2011,"Please advise on the cost of obtaining a copy of the Crichel Down Rules. Please provide a copy of the central record from 2004 for Gloucestershire, North Somerset, Oxfordshire, South Gloucestershire and Wiltshire."
31-05-2011-093253-003,27/06/2011,Please provide a copy of the central record from 2004 for Surrey.
31-05-2011-094307-004,27/06/2011,Please provide details of the Vector Aerospace contract.
31-05-2011-094905-005,28/06/2011,Please provide a copy of the 09/10 claims report document. Please advise on the total paid out in each financial year under the Armed Forces Compensation Scheme from 04/05 to 09/10 along with an estimate for 10/11.
31-05-2011-111650-006,28/06/2011,Please advise and provide information to various questions regarding the number of MDPGA police officers and civilian support staff/employees arrested for alleged offences related to 'domestic violence' or assault to their spouse or partner in the last three years up to and including 2010/2011.
31-05-2011-112125-007,28/06/2011,Please provide details of all army units that took part in Operation Agila in Rhodesia 1972.
31-05-2011-112511-008,28/06/2011,"Please provide information and photographs of the cold war bunker located at Bentley Priory, Stanmore, Middlesex."
31-05-2011-113028-009,28/06/2011,Please advise and provide information to various questions regarding UK Armed Forces personnel and the Republic of Ireland.
31-05-2011-113559-010,28/06/2011,Please provide a list of all current Royal Naval Flag Officers and Commodores along with their current appointments.
31-05-2011-113923-011,28/06/2011,Please provide a list of all Officers holding the rank of Admiral of the Fleet.
31-05-2011-114300-012,28/06/2011,Please provide a list of all Commanding Officers of HM Ships and Shore Establishments as of May 2011.
31-05-2011-114834-013,28/06/2011,"Please provide copies of all documentation held by MOD that mentions and refers to the Council of Europe Report, Inhuman treatment of people and illicit trafficking in human organs in Kosovo written by Dick Marty."
31-05-2011-115258-014,28/06/2011,Please advise on the names of all the Royal Navy vessels aboard which Lord Mountbatten served until he retired from active service.
31-05-2011-123711-015,27/06/2011,Please provide daily hourly sunshine data information from the London Heathrow station over any ten year period.
31-05-2011-124437-016,28/06/2011,Please advise and provide information to various questions regarding the communication and press teams at the Met Office.
31-05-2011-125159-017,28/06/2011,Please provide information on British support for security sector reform (SSR) in post-conflict Sierra Leone. 
31-05-2011-134527-001,24/06/2011,Please provide a copy of the Flying Training Pipeline Rebalancing Policy document dated 15 February 2011.
31-05-2011-143458-002,24/06/2011,"Please provide copies of the agreed minutes from any TU meetings held between the main TUs and MOD, that occurred between 1 August 2010 and 20 May 2011, relating to civil service staff employed at HQAC. "
31-05-2011-144758-018,28/06/2011,Please provide a contact e-mail address for the Royal Dragoon Guards and the Signals Officer.
31-05-2011-145309-019,28/06/2011,Please provide information to various question regarding Flying Training.
31-05-2011-150211-020,28/06/2011,Please provide information on the outcome on the sexual assault of two minors by two crew members of the HMS Ashanti while it was in port in Fremantle Western Australia in 1970s.
31-05-2011-150319-021,28/06/2011,Please provide information on the median and average length of service for Royal Navy recruits and promotion.
31-05-2011-151448-023,28/06/2011,Please provide information to various questions regarding Flying Training.
31-05-2011-152108-003,24/06/2011,Please provide an exhaustive specification of all simulator systems installed in the RACs along with the costs of each components. Please itemise any other further costs that have been incurred.  
31-05-2011-152853-024,28/06/2011,Please advise on the type of medical aspirators used in theatre.
31-05-2011-153734-025,28/06/2011,Please advise and provide details and information on cancelled projects from September 2009 - May 2011.
01-06-2011-100820-001,28/06/2011,Please advise where information regarding the 2010 Equality & Diversity questionnaires can be found on the DASA website. Please provide copies of the Equality & Diversity questionnaires for 2008 and 2009.
01-06-2011-101936-002,28/06/2011,Please provide information to various questions about promotion in the British Army.
01-06-2011-102951-003,22/06/2011,Please provide information on the demographics of the service community.
01-06-2011-103406-001,28/06/2011,Please advise and provide information regarding open source intelligence.
01-06-2011-112745-001,27/06/2011,Please advise whether responses to the consultation paper for the SDSR White Paper are available to be public and how a copy can be obtained.
01-06-2011-133838-004,29/06/2011,"Please provide a  copy of the meteorology report giving observations of precipitation 5km from station 2057Z after the detonation of a hydrogen bomb, codename Grapple Y, on Christmas Island in 1958."
01-06-2011-140937-002,24/06/2011,"Please advise whether the booklet, Regulations for National Service in the Army 1950 (Volume I) included provisions for a National Serviceman to become a trained soldier without passing out."
01-06-2011-141832-002,29/06/2011,Please provide information of all incidences of personal data losses in the Department.
01-06-2011-154106-003,29/06/2011,Please provide information on the figure for outstanding move-out charges as at the end of the last FY 2010/2011. 
01-06-2011-154545-004,28/06/2011,Please provide information on the lease of land in South Yard know as PY 1 site (Princess Yacht site 1) and PY 2 site (Princess Yacht site 2).
01-06-2011-155100-005,27/06/2011,"Please provide information on the accrued costs to date for the disposal of the 87 identified SFA located at Rowner, Portsmouth."
01-06-2011-155653-006,27/06/2011,Please advise on the three most common forms of injuries to police officers on duty in FY 2009/10 and 2010/11.
01-06-2011-162200-001,28/06/2011,Please provide a copy of the medal card for Alfred Powers.
01-06-2011-164552-002,29/06/2011,Please provide information on MoDaf systems architecture. 
02-06-2011-091449-001,29/06/2011,Please provide pictures of the buildings and layout of RAF Medmenham.
02-06-2011-093745-002,29/06/2011,"Please advise whether the use of 1,3-Dimethylamylamine (Geranium stem) is permissible as a sports performance supplements that can be used by serving Armed Forces personnel."
02-06-2011-094439-003,29/06/2011,Please provide information on the BAE Replica programme alleged run between 1994 and 1999.  
02-06-2011-102106-004,29/06/2011,Please provide information and details of the MOD's ICT structure.
02-06-2011-103144-001,29/06/2011,Please provide MOD's fuel expenditure for 2010-11.
02-06-2011-103301-005,29/06/2011,Please provide full details of every germ war test carried out between 22 April 2002 - present.
02-06-2011-103905-006,21/06/2011,Please provide information to various question regarding performance indicators auditing complaints.
02-06-2011-104217-007,27/06/2011,Please provide information regarding all costs relating to formal complaints by CPO Cartner against MOD.
