"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","Grade 7","48647","55618","Head of Service","4.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","HEO","29539","32406","Section Manager","13.29","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","HPO","29539","32406","Section Manager","0.43","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","EO","23686","25589","Team Manager","23.98","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AO","19292","20762","Case Officer","92.08","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AO","19292","20762","Not In Post","2.81","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AA","16449","17448","Administrator","16.78","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AD","75432","75432","Operational Manager","3.80","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SEI","115625","115625","Examing Inspector","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","EI","95000","95000","Examing Inspector","13.02","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","PHPI","65416","71957","Planning Inspector","18.67","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SHPI","50557","60670","Planning Inspector","102.75","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","HPI","39149","47501","Planning Inspector","51.44","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SEO","36653","40659","Head of Service","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","EO","23686","25589","Team Manager","0.86","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AO","19292","20762","Administrator","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AA","16449","17448","Administrator","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 6","57500","68293","Head of Service","1.00","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","Finance Manager","1.00","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Finance Manager","2.82","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Finance Officer","8.87","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Finance Support Officer","2.56","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Not In Post","0.56","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 6","57500","68293","Head of Service","1.00","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 7","48647","55618","HR Business Partner","2.00","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","HR Manager","1.00","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","HR Manager","3.94","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","HR Officer","4.60","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Finance Support Officer","5.64","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 6","57500","68293","Head of Service","1.00","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","IT Manager","4.00","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","IT Manager","9.37","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","IT Officer","27.56","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","IT Support Officer","2.00","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 7","48647","55618","Head of Service","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","Section Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Statistical Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Customer Service Manager","1.81","Operational Delivery"
