BUSINESS PLAN QUARTERLY DATA SUMMARY - JANUARY 2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,
,,,,,,,,,,,,,,,,,,
Budget,,,£million,,,Common Areas of Spend,,Q2 2011-12,Q1 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous
,,,,,,,,,,,,,,,,,,
,,,Q2 2011-12,Q2 2010-11,,Estate Costs,Total office estate (m2),QDS1 2012-13,not applicable,,"1  Additional cost of operations in Afghanistan, per Service person deployed (Previous=Q4 2009-10, Current=Q4 2010-11)","397,263","340,947",,"Payroll Staff
[Total full-time equivalent by]
(current = at 30 Sep 2011, previous = at 30 Jun 2011)",Department and Agencies,"68,010","70,690"
Total Departmental Expenditure Limit (DEL),,,"10,712","11,220",,,Total cost of office estate (£million),QDS1 2012-13,not applicable,,"2  Additional cost of new equipment (urgent operational requirements) for operations in Afghanistan, per Service person deployed  (Previous=Q4 2009-10, Current=Q4 2010-11)","61,368","86,211",,,Non-departmental public bodies,Not Applicable,not applicable
of which Resource DEL (excl. Depreciation),,,"6,688","7,012",,,Cost per FTE (£),QDS1 2012-13,not applicable,,3  Cost of standing military commitments / tasks and contingent operations per committed Service person  (Current available Q4),QDS4 2011-12,not applicable,,,Department Family,"60,430","61,440"
Upto top 5 contributory elements,A: Social security costs (UK),,177,140,,,Cost per m2 (£),QDS1 2012-13,not applicable,,"4  Average percentage by which the cost of the MOD equipment programme varies compared to forecasts in year (%, Previous= Q1 2011-12 Current=Q2 2011-12)",-0.24%,-0.04%,,"Average Staff Costs
(£, current = at 30 Sep 2011, previous = at 30 Jun 2011)",,"34,967","34,967"
,B: Staff - Other pension costs (UK),,607,479,,Procurement,Total Procurement Spend (£million),"5,014.00","5,241.00",,"5a  Cost of major force elements: Ship  (£million, Previous=Q4 2009-10, Current= Q4 2010-11)",31,28,,"Contingent Labour
[Total full-time equivalent by] 
(current = at 30 Sep 2011, previous = at 30 Jun 2011)",Department and Agencies,"1,380","1,518"
,C: Service element of PFI finance leases,,635,431,,,Price of standard box of A4 white copier paper (£/2500 sheets),9.27,9.27,,"5b Cost of major force elements: Brigade  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",534,not applicable,,,Non-departmental public bodies,1,351
,D: Wages & Salaries (UK),,"2,295","2,465",,,Average price of energy (£/KWH),0.041,0.039,,"5c Cost of major force elements: Aircraft (Fast Jets)  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",7,7,,,Department Family,"1,381","1,869"
,E: Other expenses,,"2,726","2,492",,IT,Total 3rd Party ICT Cost (£million),QDS1 2012-13,not applicable,,"5d Cost of major force elements: Helicopter (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",2,not applicable,,Department and Agencies Only,,Current,Previous
Purchase of goods and services within Resource DEL,,,"3,447","3,191",,,Cost of desktop provision per FTE (£),383.00,392.50,,"6  Cost / Benefit ratio of the major change and efficiency programmes being undertaken by Defence (UNIT, Previous=Q4 2009-10, Current available= Q2 2011-12)",6.35,1.75,,"Workforce Shape
[Total full-time equivalent by]
(%, current = at 30 Sep 2011, previous = at 30 Jun 2011)",Administrative Assistants and Administrative Officers,40.9,41.0
