Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Sir Bill Jeffrey KCB, Permanent Secretary Ministry of Defence",Oct-10,HSBC,General discussion
"Sir Bill Jeffrey KCB, Permanent Secretary Ministry of Defence",Oct-10,Defence National Rehabilitation Centre project team,Catch up meeting
"Mrs Ursula Brennan, 2nd Permanent Secretary Ministry of Defence ",Oct-10,The Nicholls Group,General discussion
"Mrs Ursula Brennan, 2nd Permanent Secretary Ministry of Defence ",Oct-10,BAE Systems,Catch up meeting
"Mrs Ursula Brennan, 2nd Permanent Secretary Ministry of Defence ",Oct-10,QinetiQ,Catch up meeting
"Mrs Ursula Brennan, 2nd Permanent Secretary Ministry of Defence ",Oct-10,Sodexho,Catch up meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-10,Finmeccanica,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-10,Lockheed Martin,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-10,Capgemini,General discussion
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Dec-10,Serco,General discussion
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Dec-10,Lockheed Martin,General discussion
