Minister,Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Liam Fox MP",6-12 August,Dubai and Bahrain/Afghanistan,Operational Visit ,Scheduled/ No 32 Squadron,,"£4,185"
"Secretary of State for Defence, Rt Hon Liam Fox MP",2-3 September,"Paris,France",Meeting with French counterpart,No 32 Squadron,3,"£2,569"
"Secretary of State for Defence, Rt Hon Liam Fox MP",10-12 September,"Geneva,Switzerland",IISS Strategy Review,Scheduled,,£565
"Secretary of State for Defence, Rt Hon Liam Fox MP",24-27 September,"Jeddah,Saudi Arabia","Meeting with King Abdullah and other key interlocutors including deputy Interior Minister, HRH Prince Mohamed bin Naif.",Scheduled,,"£10,595"
"Parliamentary Under-Secretary of State, Gerald Howarth MP",5-6 September,"Krakow and Kielce,Poland",Polish Defence Exhibition Trade Fair,No 32 Squadron,3,"£6,124"
"Parliamentary Under-Secretary of State, Gerald Howarth MP",09-Sep,"Brussels,Belgium",Introductory visit,Eurostar,,£387
"Parliamentary Under-Secretary of State, Gerald Howarth MP",13-16 September,"Rio de Janeiro and Brasilia,Brazil",To sign a UK-Brazil Defence Agreement and Meetings.,Scheduled,,"£3,392"
"Parliamentary Under-Secretary of State, Gerald Howarth MP",23 - 24 September ,"Brussels,Belgium",EU Informal Defence Minister’s Meeting,Eurostar,,£387
"Parliamentary Under-Secretary of State, Andrew Robathan MP",26 – 30 September,"Seoul,Korea",60th Anniversary - Liberation of Seoul.,Scheduled,,Paid for by host Government.
"Parliamentary Under-Secretary of State, Lord Astor of Hever DL",17-Sep,"Versailles, France",Attend Club of Three Conference,Eurostar,,£532
