MINISTERIAL INFORMATION 1 JANUARY-31 MARCH 2012,,,

HOSPITALITY,,,

Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",10-Jan-12,EADS,Annual reception
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",12-Jan-12,Fujitsu,Defence and security reception
"Minister of State Armed Forces, Nick Harvey MP",None ,,
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",18-Jan-12,Sunday Times,Lunch
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",06-Feb-12,Wragg & Co,Annual Defence Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",07-Feb-12,The D Group,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",10-Jan-12,EADS & Airbus,Reception
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",17-Jan-12,The Times,Dinner
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",24-Jan-12,Bomber Command Association,Reception
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",02-Feb-12,Royal British Legion,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",06-Mar-12,Rev Canon of Westminster Abbey,Evensong & Private Tour
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",14-Mar-12,East Midlands Universities’ Officers’ Training,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",None ,,
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",02-Feb-12,Blenheim Capital ,Lunch

Note: Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’,,,
"functions in the UK or abroad, hosted by overseas governments; minor refreshments at",,,
"meetings, receptions, conferences, and seminars; and offers of hospitality which were",,,
declined.,,,
