Department/organisation name,Number of exemptions approved at grade:,,,,,,,,,,,,,,Date of Update
, AO/AA,,EO,,HEO/SEO,, Grade 6/7,,SCS level,,"Unknown/Other
(please add comments if exemptions are entered here)",,Total exemptions,,
,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,
MOD,27,27,19,19,27,27,3,3,1,1,153,153,230,230,1 Jan 2012 to 31 Mar 2012
Defence Support Group,,,,,,,1,1,,,,,1,1,1 Jan 2012 to 31 Mar 2012
Defence Science and Technology Laboratory,17,17,1,1,29,29,53,53,1,1,,,101,101,1 Jan 2012 to 31 Mar 2012
UK Hydrographic Office,10,10,,,1,1,1,1,,,,,12,12,1 Jan 2012 to 31 Mar 2012
Defence Scientific Advisory Council,,,,,,,,,,,,,0,0,1 Jan 2012 to 31 Mar 2012
National Army Museum,,,,,,,,,,,2,2,2,2,1 Jan 2012 to 31 Mar 2012
National Museum of the Royal Navy,,,,,,,,,,,,,0,0,1 Jan 2012 to 31 Mar 2012
Science Advisory Committee on the Medical Implications of Less Lethal Weapons,,,,,,,,,,,,,0,0,1 Jan 2012 to 31 Mar 2012
Oil & Pipelines Agency,,,,,,,,,,,7,7,7,7,1 Jan 2012 to 31 Mar 2012
,,,,,,,,,,,,,,353,
