Post unique reference,Name,Grade,Job title,FTE,Parent Department,Organisation,Unit,Actual pay floor,Actual pay ceiling,Notes
Defence Board,,,,,,,,,,
,Sir Bill Jeffrey,Permanent Secretary,Permanent Under Secretary,1,MOD,MOD,HEAD OFFICE,175000,179999,
,Ursula Brennan,Permanent Secretary,2nd Permanent Under Secretary,1,MOD,MOD,HEAD OFFICE,155000,159999,
,Professor Mark Welland,Permanent Secretary,Chief Scientific Adviser,1,MOD,MOD,HEAD OFFICE,140000,144999,
,Jon Thompson,Director General,Director General Finance,1,MOD,MOD,HEAD OFFICE,175000,179999,
Central (Head Office) Top Level Budget Area,,,,,,,,,,
,Jon Day,DIRECTOR GENERAL,DIRECTOR GENERAL SECURITY POLICY,1,MOD,MOD,CENTRAL,100000,104999,
,Andrew Manley,DIRECTOR GENERAL,DIRECTOR GENERAL COMMERCIAL,1,MOD,MOD,CENTRAL,200000,204999,
,Tom McKane,DIRECTOR GENERAL,DIRECTOR GENERAL STRATEGY,1,MOD,MOD,CENTRAL,125000,129999,
,Susan Scholefield,DIRECTOR GENERAL,DIRECTOR GENERAL HR AND CORPORATE SERVICES,1,MOD,MOD,CENTRAL,125000,129999,
,David Ball,DIRECTOR,DIRECTOR CORPORATE SERVICES STRATEGY IMPLEMENTATION,1,MOD,MOD,CENTRAL,95000,99999,
,Gavin Barlow,DIRECTOR,DIRECTOR SERVICE PERSONNEL POLICY,1,MOD,MOD,CENTRAL,85000,89999,
,Kathy Barnes,DIRECTOR,CHIEF EXECUTIVE SERVICE PERSONNEL & VETERANS AGENCY,1,MOD,MOD,CENTRAL,95000,99999,
,John Colston,DIRECTOR,DEPUTY CHIEF OF DEFENCE INTELLIGENCE,1,MOD,MOD,CENTRAL,100000,104999,
,,DIRECTOR,DIRECTOR INTERNATIONAL SECURITY POLICY,1,MOD,MOD,CENTRAL,105000,109999,
,Jonathan Evans,DIRECTOR,DIRECTOR CIVILIAN PERSONNEL,1,MOD,MOD,CENTRAL,120000,124999
,,DIRECTOR,DIRECTOR TASK FORCE BETTER REGULATION EXECUTIVE,1,MOD,MOD,CENTRAL,105000,109999
,,DIRECTOR,DIRECTOR INTERNATIONAL ACQUISITION POLICY,1,MOD,MOD,CENTRAL,95000,99999
,Nick Gurr,DIRECTOR,DIRECTOR MEDIA AND COMMUNICATIONS,1,MOD,MOD,CENTRAL,85000,89999
