Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B1,,,CTLB Commercial,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB Commercial,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB Commercial,8,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB Commercial,18,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB Commercial,27,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,E1,,,CTLB Commercial,16,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB DII Prog team,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB DII Prog team,3,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB DII Prog team,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB Director -EA,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB ESTATES,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB ESTATES,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB ESTATES,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB ESTATES,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B1,,,CTLB Facilities Partnership Team,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB Facilities Partnership Team,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB Facilities Partnership Team,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB Facilities Partnership Team,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB Facilities Partnership Team,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,E1,,,CTLB Facilities Partnership Team,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,B1,,,CTLB Finance,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,B2,,,CTLB Finance,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,C1,,,CTLB Finance,11
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,C2,,,CTLB Finance,17
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,D,,,CTLB Finance,14
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106032,E1,,,CTLB Finance,11
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B1,,,CTLB HR,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB HR,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB HR,13
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB HR,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB HR,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,E1,,,CTLB HR,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB IM,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB IM,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB IM,13,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB IM,23,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,E1,,,CTLB IM,55,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,E2,,,CTLB IM,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,OF3,,,CTLB IM,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,B2,,,CTLB Safety,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,C1,,,CTLB Safety,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,C2,,,CTLB Safety,5,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,D,,,CTLB Safety,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,E1,,,CTLB Safety,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B1,,,CTLB SDM,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB SDM,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB SDM,3,X1 RDP POST
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB SDM,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB SDM,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,B2,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C2,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,D,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,OF2,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,OF3,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,OF5,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,Sgt,,,CTLB Service Personnel,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,B1,,,CTLB SSBC,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,B2,,,CTLB SSBC,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,C1,,,CTLB SSBC,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,C2,,,CTLB SSBC,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,D,,,CTLB SSBC,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,E1,,,CTLB SSBC,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,110351,E2,,,CTLB SSBC,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106029,C1,,,CTLB Streamlining,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,C1,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,C2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,OF3,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,OF4,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063009-DEFAC-CMT-LMD HEAD,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,B2,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,C1,,,,40
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,C2,,,,59
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,Band D,,,,22
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,E1,,,,23
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,E2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,SZ3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,OR8,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,108528 - DEFAC-CMT-AB-HEAD,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,C1,,,,19
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,C2,,,,26
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,Band D,,,,21
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,E1,,,,17
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,SZ1,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,SZ2,,,,13
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OF2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OF3,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OF4,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR3,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR4,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR6,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR7,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR8,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,109463 - DEFAC-HQ-DIRECTOR GENERAL,OR9,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,C1,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,C2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,Band D,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,E1,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1128035 - DEFAC-RCDS-SDS 3,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,B1,,,DEFAC-CMT-TD CBTTECH MOBSURV SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,B2,,,DEFAC-CMT-TD CBTTECH LETHAL SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,C1,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,C2,,,DEFAC-CMT-TD CBTTECH DEV SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,Band D,,,DEFAC-CMT-TD CBTTECH AMMOEXP SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,SZ3,,,DEFAC-CMT-TD EN TECH IM SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF2,,,DEFAC-CMT-TD EN TECH NEC SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF3,,,DEFAC-CMT-TD EN TECH DEP HD,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF4,,,DEFAC-CMT-TD CBTTECH MOBSURV SO1,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF5,,,DEFAC-CMT-TD CBTTECH LETHAL SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR4,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR6,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR7,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR8,,,DEFAC-CMT-TD CBTTECH DEV SO1,4
