Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1017733,OF4,,,,1
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1017733,OR9,,,,1
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018042,OF4,,,,1
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OF5,,,,5
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OF4,,,,21
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OF3,,,,34
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OF2,,,,8
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR9,,,,1
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR7,,,,2
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR6,,,,6
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR4,,,,9
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR3,,,,1
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,OR1,,,,16
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,B2,,,,4
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,C1,,,,2
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,C2,,,,16
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,D,,,,16
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,E1,,,,17
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,E2,,,,2
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,RET,,,,5
Ministry of Defence,Ministry of Defence,Chief of Air Staff,1018322,SZ2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071212,OF4,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071212,OF3,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071212,OF2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071212,OR6,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071212,OR4,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1071212,OR2,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1071223,OF3,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071223,OF2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071223,OR4,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1071223,OR2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071229,OF4,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071229,OF3,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071229,OR6,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071229,OR2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1073669,OF3,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1073669,OR6,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1073288,OF5,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1073288,OF4,,,,13
Ministry of Defence,Ministry of Defence,Air Command,1073288,OF3,,,,9
Ministry of Defence,Ministry of Defence,Air Command,1073288,OF2,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1073288,OF1,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1073288,OR9,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1073288,OR7,,,,11
Ministry of Defence,Ministry of Defence,Air Command,1073288,OR6,,,,24
Ministry of Defence,Ministry of Defence,Air Command,1073288,OR4,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1073288,OR1,,,,17
Ministry of Defence,Ministry of Defence,Air Command,1073288,B1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1073288,C1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1073288,C2,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1073288,D,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1073288,E1,,,,10
Ministry of Defence,Ministry of Defence,Air Command,1073288,E2,,,,9
Ministry of Defence,Ministry of Defence,Air Command,1073288,SZ2,,,,2
