Parent Department,Organisation,Unit,Reporting SCS post reference,Reporting SCS Post title,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,34860,Head ISS Commercial  ,B1,,,Commercial Information System Services,2
,,,,,B2,,,Commercial Information System Services,5
,,,,,C1,,,Commercial Information System Services,18
,,,,,C2,,,Commercial Information System Services,7
,,,,,D,,,Commercial Information System Services,7
,,,,,E1,,,Commercial Information System Services,7
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,31698,Head ISS Internal Service Provider,B1,,,Information System Services Internal Service Provider,2
,,,,,B2,,,Information System Services Internal Service Provider,7
,,,,,C1,,,Information System Services Internal Service Provider,24
,,,,,C2,,,Information System Services Internal Service Provider,95
,,,,,D,,,Information System Services Internal Service Provider,179
,,,,,E1,,,Information System Services Internal Service Provider,185
,,,,,SZ1,,,Information System Services Internal Service Provider,1
,,,,,SZ3,,,Information System Services Internal Service Provider,4
,,,,,SZ4,,,Information System Services Internal Service Provider,3
,,,,,Commander,,,Information System Services Internal Service Provider,1
,,,,,Lt Commander,,,Information System Services Internal Service Provider,1
,,,,,Lieutenant,,,Information System Services Internal Service Provider,1
,,,,,Sub Lieutenant,,,Information System Services Internal Service Provider,1
,,,,,Other Rank,,,Information System Services Internal Service Provider,74
,,,,,Lt Colonel,,,Information System Services Internal Service Provider,1
,,,,,Major,,,Information System Services Internal Service Provider,3
,,,,,Captain,,,Information System Services Internal Service Provider,8
,,,,,Other Rank,,,Information System Services Internal Service Provider,67
,,,,,Group Captain,,,Information System Services Internal Service Provider,1
,,,,,Squadron Leader,,,Information System Services Internal Service Provider,3
,,,,,Flt Lieutenant,,,Information System Services Internal Service Provider,4
,,,,,Other Rank,,,Information System Services Internal Service Provider,147
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,188627,Head Office of Chief Information Officer,B1,,,Office of Chief Information Officer,2
,,,,,B2,,,Office of Chief Information Officer,3
,,,,,C1,,,Office of Chief Information Officer,13
,,,,,C2,,,Office of Chief Information Officer,15
,,,,,D,,,Office of Chief Information Officer,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,152721,Head ISS Change,B1,,,Information System Services Change,3
,,,,,B2,,,Information System Services Change,8
,,,,,C1,,,Information System Services Change,13
,,,,,C2,,,Information System Services Change,23
,,,,,D,,,Information System Services Change,16
,,,,,E1,,,Information System Services Change,19
,,,,,Other Rank,,,Information System Services Change,1
,,,,,Colonel,,,Information System Services Change,1
,,,,,Major,,,Information System Services Change,1
,,,,,Other Rank,,,Information System Services Change,5
,,,,,Group Captain,,,Information System Services Change,1
,,,,,Wing Commander,,,Information System Services Change,2
,,,,,Flt Lieutenant,,,Information System Services Change,1
,,,,,Other Rank,,,Information System Services Change,9
