,Administrative Road Travel,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Tonnes CO2,2005/06,2006/07,2007/08,2008/09,2009/10,,,,,..,,..,
,Emissions from Business Admin Travel,61 100,58 700,55 900,55 500,51 400,,,,,,,,
,,,,,,,,,,,,,,
,"The above total consists of 3 part, these are:",,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,CONTINUOUS USE LEASED CAR FLEET,,,,,,,,,,,,,
,,2005/06,2006/07,2007/08,2008/09,2009/10,,,,,,,,
,No vehicles, 6 780, 6 940, 7 057, 7 011, 7 058,,,,,,,,
,Total kms,195 264 000,199 872 000,"203,241,600",201 916 800,203 270 400,,,,,,,,
,Av CO2 g/km,  154,  147,  135,  132,  130,,,,,,,,
,Total CO2 kg,30 148 762,29 281 248,27 417 292,26 733 784,26 410 923,,,,,,,,
,CO2 Tonnes, 30 149, 29 281, 27 417, 26 734, 26 411,,,,,,,,
,,,,,,,,,,,,,,
,Note:,,,,,,,,,,,,,
,1.  The Average CO2 g/Km figure is calculated from the average CO2 emissions for each vehicles in the fleet.  Individual vehicle CO2 data is obtained from figures published by the Society of Motor Manufacturers,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,HIRE CARS,,,,,,,,,,,,,,,
,,2005/06,,,2006/07,,,2007/08,,,2008/09,,,2009/10,,
,,Number of hires,No Hires x 250 miles,Miles x Con Factor /1000 = Tonnes CO2,Number of hires,No Hires x 250 miles,Miles x Con Factor /1000 = Tonnes CO2,Number of hires,No Hires x 250 miles,Miles x Con Factor /1000 = Tonnes CO2,Number of hires,No Hires x 250 miles,Miles x Con Factor /1000 = Tonnes CO2,Number of hires,No Hires x 250 miles,Miles x Con Factor /1000 = Tonnes CO2
,Petrol,,,,,,,,,,,,,,,
,Small cars <1.4 ltr, 23 651,5 912 750, 1 722, 27 435,6 858 733, 1 997, 33 775,8 443 768, 2 459, 70 064,17 515 917, 5 101, 62 772,15 692 886, 4 570
,Medium cars 1.4 - 1.8ltr, 111 459,27 864 750, 9 591, 98 390,24 597 614, 8 466, 85 155,21 288 812, 7 328, 50 174,12 543 535, 4 317, 39 376,9 844 080, 3 388
,Large cars >1.8ltr, 40 232,10 058 000, 4 788, 29 385,7 346 253, 3 497, 23 300,5 825 094, 2 773, 5 730,1 432 610,  682, 4 827,1 206 825,  574
,Sub Total, 175 342,43 835 500, 16 100, 155 210,38 802 600, 13 961, 142 231,35 557 673, 12 559, 125 968,31 492 062, 10 100, 106 975,26 743 790, 8 533
,,,,,,,,,,,,,,,,
,Diesel,,,,,,,,,,,,,,,
,Small cars <1.4 ltr,  0,  0,  0, 3 048, 762 081,  186, 5 960,1 490 077,  363, 3 688, 921 890,  224, 3 304, 825 941,  201
,Medium cars 1.4 - 1.8ltr,  0,  0,  0, 10 932,2 733 068,  827, 15 027,3 756 849, 1 137, 33 449,8 362 356, 2 531, 26 251,6 562 720, 1 987
,Large cars >1.8ltr,  0,  0,  0, 3 265, 816 250,  339, 4 112,1 027 958,  427, 22 922,5 730 441, 2 380, 19 309,4 827 298, 2 005
,Sub Total,  0,  0,  0, 17 246,4 311 400, 1 352, 25 100,6 274 884, 1 927, 60 059,15 014 688, 5 136, 48 864,12 215 960, 4 192
,TOTAL, 175 342,43 835 500, 16 100, 172 456,43 114 000, 15 312, 167 330,41 832 557, 14 486, 186 027,46 506 750, 15 236, 155 839,38 959 750, 12 725
,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,
,1. The exact mileage travelled by each hire is not known.  From a survey we have calculated that the average distance travelled on each hire is 250 miles.  This average is used for each days hire.,,,,,,,,,,,,,,,
,2. The following DEFRA Conversion Factors (2007 factors) are used instead of actual vehicle emission data,,,,,,,,,,,,,,,
,,CO2 conversion Factor,,,,,,,,,,,,,,
,,Petrol,Diesel,,,,,,,,,,,,,
,small car,0.2912,0.2435,,,,,,,,,,,,,
,medium car,0.3442,0.3027,,,,,,,,,,,,,
,large car,0.476,0.4153,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,CIVILIAN GREY CAR FLEET,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2005/06,2006/07,2007/08,2008/09,2009/10,,,,,,,,,,
,Total Miles,44 686 652,42 329 619,42 069 732,40 476 073,36 915 688,,,,,,,,,,
,CO2 Kg,14 889 592,14 104 229,14 017 635,13 486 628,12 300 307,,,,,,,,,,
,CO2 Tonnes, 14 890, 14 104, 14 018, 13 487, 12 300,,,,
,,,,,,,,,,
,CO2 Conversion Factor ,0.3332,,,,,,,,
,,,,,,,,,,
,Note:  ,,,,,,,,,
,1.  The Grey Fleet is an employee using their personal car for a business journey for which they then claim motor mileage allowance,,,,,,,,,
,"2.  MOD does not collect car model, engine size and year of manufacteur to accurately calculate the CO2",,,,,,,,,
,3.  Data for Service Personnel and United Kingdom Hydrographic Office employees will be available from 2010/11.  ,,,,,,,,,

,© Crown copyright 2011,,,,,,,,,
,,,,,,,,,,
,The material featured on this website is subject to Crown copyright protection unless otherwise indicated. You may re-use the Crown copyright protected material (not including the Royal Arms and other departmental or agency logos) free of charge in any format. The material must be acknowledged as Crown copyright and you must give the title of the source document/publication.,,,,,,,,,
,,,,,,,,,,
,Where we have identified any third party copyright material you will need to obtain permission from the copyright holders concerned.,,,,,,,,,
,,,,,,,,,,
,The MOD encourages users to establish hypertext links to this site.,,,,,,,,,
,
,"For further information on Crown copyright policy and licensing arrangements, see The National Archives' guidance at:"
,
,http://www.opsi.gov.uk/advice/crown-copyright/index.htm
