Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,633211,28362.88
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,632430,142.05
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,632430,581.38
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,632430,6159.25
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,632430,13268.69
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,632430,160.97
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,633214,10037.73
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,633214,3726.01
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,633214,2465.66
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,633214,27446.35
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,633214,75819.54
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,633214,4081.08
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,633944,5608.93
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,633944,1011.60
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,633944,1468.70
