Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,05/08/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,674161,28362.88
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,672269,906.94
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,672269,895.23
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,672269,698.68
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,672269,6700.70
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,672269,26644.59
Ministry of Defence,Ministry of Defence,02/08/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,672269,1302.07
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,672820,4752.01
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,672820,310.80
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,672820,885.38
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,672820,12776.51
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,672820,20199.87
Ministry of Defence,Ministry of Defence,03/08/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,672820,817.70
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,673329,1572.87
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,673329,4751.10
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,673329,766.87
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,673329,11071.09
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,673329,28956.34
Ministry of Defence,Ministry of Defence,04/08/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,673329,2218.78
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,674163,1242.26
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,674163,408.47
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,674163,418.63
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,674163,13386.57
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,674163,13749.22
Ministry of Defence,Ministry of Defence,05/08/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,674163,1302.20
Ministry of Defence,Ministry of Defence,06/08/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,674747,1955.55
Ministry of Defence,Ministry of Defence,06/08/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,674747,102.27
Ministry of Defence,Ministry of Defence,06/08/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,674747,717.02
Ministry of Defence,Ministry of Defence,06/08/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,674747,6105.44
Ministry of Defence,Ministry of Defence,06/08/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,674747,31809.28
