Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/05/2011,Medical treatment & stores and welfare services.,Central TLB,BAE Systems Saudi Arabia Ltd,Cash Office AP02 07,73405.83
Ministry of Defence,Ministry of Defence,01/05/2011,Food and clothing,Land Forces,Shamrock Foods,Cash Office AP02 02,49721.17
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,788157,11482.46
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,788157,1006.67
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,788157,3481.26
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,788157,27174.01
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,788157,417.48
Ministry of Defence,Ministry of Defence,03/05/2011,Design services and minor equipment purchases,Defence Equipment & Support,ALFA LAVAL LTD,788168,22200.96
Ministry of Defence,Ministry of Defence,03/05/2011,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,788197,582465.16
Ministry of Defence,Ministry of Defence,03/05/2011,Estate management,Air Command,BABCOCK SUPPORT SERVICES LIMITED,788197,5101.76
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,BOROUGH COUNCIL OF KINGS LYNN & WEST NORFOLK,788220,65651.16
Ministry of Defence,Ministry of Defence,03/05/2011,Fuel for military use,Air Command,BP INTERNATIONAL LIMITED,2000011500,40711.74
Ministry of Defence,Ministry of Defence,03/05/2011,"Adminstration, claims, compensation and awards",Land Forces,BUNDESANSTALT FUER IMMOBILIENAUGABEN,5000055173,84331.39
Ministry of Defence,Ministry of Defence,03/05/2011,Rental of plant and machinery,Defence Equipment & Support,CALUMET PHOTOGRAPHIC LTD,788248,18574
Ministry of Defence,Ministry of Defence,03/05/2011,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,788250,870.56
Ministry of Defence,Ministry of Defence,03/05/2011,General services and support,Defence Equipment & Support,CANON (UK) LIMITED,788250,1463.85
Ministry of Defence,Ministry of Defence,03/05/2011,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,788250,529.56
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,788250,293.61
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,788250,25601.19
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,788255,2919.87
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,788255,820.39
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Land Forces,CARWOOD MOTOR UNITS LTD,788255,22097.61
Ministry of Defence,Ministry of Defence,03/05/2011,Medical treatment & stores and welfare services.,Air Command,CASTLEROCK RECRUITMENT GROUP LIMITED,788258,1976.94
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,CITY OF EDINBURGH COUNCIL,788270,132996.63
Ministry of Defence,Ministry of Defence,03/05/2011,Design services and minor equipment purchases,Defence Equipment & Support,CLAN TOOLS & PLANT LIMITED,788271,37911.34
Ministry of Defence,United Kingdom Hydrographic Office,03/05/2011,Purchased Services,"Marketing, CS & Channel Management",COI Communications,2000053949,20000
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,CORNWALL COUNCIL,788280,64578.39
Ministry of Defence,Ministry of Defence,03/05/2011,Fees for professional services,Central TLB,CORPS OF COMMISSIONAIRES  MANAGEMENT LIMITED,788281,29614.24
Ministry of Defence,Ministry of Defence,03/05/2011,Development costs for military equipment,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,788297,639.24
Ministry of Defence,Ministry of Defence,03/05/2011,Fees for professional services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,788297,57607.26
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,788300,3783.46
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Defence Equipment & Support,DHS SYSTEMS INT'L LIMITED,788303,181188
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,DOVER DISTRICT COUNCIL,788306,25677.56
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,EAST HAMPSHIRE DISTRICT COUNCIL,788324,51164.39
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,EAST LINDSEY DISTRICT COUNCIL,788325,34234.53
Ministry of Defence,Ministry of Defence,03/05/2011,Purchase of inventory and services ,Defence Equipment & Support,ELGIN MEDICAL LIMITED,788336,53160
Ministry of Defence,Ministry of Defence,03/05/2011,Design services and minor equipment purchases,Air Command,EQUIPMENT HIRE SERVICES LTD,788340,8781.68
Ministry of Defence,Ministry of Defence,03/05/2011,Estate management,Air Command,EQUIPMENT HIRE SERVICES LTD,788340,2633.62
Ministry of Defence,Ministry of Defence,03/05/2011,Externally delivered education and training.,Air Command,EQUIPMENT HIRE SERVICES LTD,788340,1073.6
Ministry of Defence,Ministry of Defence,03/05/2011,General services and support,Command Joint Operations,EQUIPMENT HIRE SERVICES LTD,788340,2364.02
Ministry of Defence,Ministry of Defence,03/05/2011,IT and communication services,Air Command,EQUIPMENT HIRE SERVICES LTD,788340,8980.93
Ministry of Defence,Ministry of Defence,03/05/2011,Medical treatment & stores and welfare services.,Air Command,EQUIPMENT HIRE SERVICES LTD,788340,5231.8
Ministry of Defence,Ministry of Defence,03/05/2011,Medical treatment & stores and welfare services.,Land Forces,EQUIPMENT HIRE SERVICES LTD,788340,3796.3
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,FAREHAM BOROUGH COUNCIL,788352,43057.76
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,FIFE COUNCIL,788357,74159.48
Ministry of Defence,Ministry of Defence,03/05/2011,Estate management,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,50.11
Ministry of Defence,Ministry of Defence,03/05/2011,Externally delivered education and training.,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,2469.14
Ministry of Defence,Ministry of Defence,03/05/2011,IT and communication services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,82.35
Ministry of Defence,Ministry of Defence,03/05/2011,Medical treatment & stores and welfare services.,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,6892.7
Ministry of Defence,Ministry of Defence,03/05/2011,Official entertainment and hospitality.,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,-450.14
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,274.83
Ministry of Defence,Ministry of Defence,03/05/2011,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,2.00E+11,2140.67
Ministry of Defence,Ministry of Defence,03/05/2011,Rent and rates,Defence Infrastructure Organisation ,FYLDE BOROUGH COUNCIL,788369,28062.82
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,788375,715.05
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Air Command,GB OILS LIMITED,788376,20018.77
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Command Joint Operations,GB OILS LIMITED,788376,16636.98
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,788376,29788.02
Ministry of Defence,Ministry of Defence,03/05/2011,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,788376,8343.71
