UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC15952,01-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,244.02",15952
MODGPC15953,02-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,530.76,15953
MODGPC15954,03-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,958.8,15954
MODGPC15955,07-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,552,15955
MODGPC15956,11-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,800.00",15956
MODGPC15957,03-Nov-11,Building Services                  ," HEATING, PLUMBING, AIR COND","1,436.26",15957
MODGPC15958,02-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,"1,054.80",15958
MODGPC15959,07-Nov-11,General Retail and Wholesale       , ELECTRONICS STORES,"1,460.00",15959
MODGPC15960,09-Nov-11,General Retail and Wholesale       , HARDWARE STORES,945.6,15960
MODGPC15961,03-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,704.90",15961
MODGPC15962,03-Nov-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"3,481.61",15962
MODGPC15963,07-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,424.00",15963
MODGPC15964,04-Nov-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"1,692.06",15964
MODGPC15965,08-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,821.04,15965
MODGPC15966,04-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,"6,012.20",15966
MODGPC15967,01-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,798.98,15967
MODGPC15968,01-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,979.2,15968
MODGPC15969,11-Nov-11,Restaurants and Bars               ," HOTELS, RESTAURANTS AND BARS","1,000.00",15969
MODGPC15970,01-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,122.90",15970
MODGPC15971,08-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"2,294.40",15971
MODGPC15972,02-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"5,371.20",15972
MODGPC15973,09-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,525,15973
MODGPC15974,01-Nov-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,554.83,15974
MODGPC15975,02-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,"1,316.70",15975
MODGPC15976,02-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,"1,276.80",15976
MODGPC15977,02-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,"4,552.80",15977
MODGPC15978,11-Nov-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"2,233.00",15978
MODGPC15979,11-Nov-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,886.00",15979
MODGPC15980,04-Nov-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,306.50",15980
