CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Nov-11
STATIONERY CONTRACT,"9,844.10"
PAPER CONTRACT,"2,589.29"
IT CONSUMBLES CONTRACT,"631,897.36"
NEW STATIONERY CONTRACT,"191,741.05"

DEFENCE TRAVEL CONTRACT - HOTELS,"28,645.40"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"5,256,477.68"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"874,280.39"
DEFENCE TRAVEL CONTRACT - RAIL,"1,700,042.49"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"409,110.78"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"59,797.19"
