CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Jun-12
STATIONERY CONTRACT,"2,070.94"
IT CONSUMBLES CONTRACT,"284,145.80"
NEW STATIONERY CONTRACT,"330,027.19"

DEFENCE TRAVEL CONTRACT - HOTELS,"49,279.02"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,433,717.02"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"1,022,957.94"
DEFENCE TRAVEL CONTRACT - RAIL,"1,844,326.35"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"190,396.91"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"46,684.37"
