CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Jul-12
STATIONERY CONTRACT,-143.94
IT CONSUMBLES CONTRACT,"239,470.17"
NEW STATIONERY CONTRACT,"328,470.09"

DEFENCE TRAVEL CONTRACT - HOTELS,"55,276.53"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,383,166.33"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"930,523.78"
DEFENCE TRAVEL CONTRACT - RAIL,"1,651,053.12"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"209,796.50"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"58,672.34"
