"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OR5-6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OR1-3","17265","28940","House Manager","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105340","OR4","26405","33182","Steward","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","C2","29258","36333","Keeper and Curator","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","D","23427","29092","Events & Visitor Services Management","2.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","E1","18370","22124","HMS Victory Guide","22.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","Skill Zone 1","15083","16482","General Hand","6.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","Skill Zone 3","18010","22150","General Hand","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OF2","37916","45090","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OF3","47760","57200","HMS Victory Guide","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR1-3","17265","28940","HMS Victory Guide","5.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR4","26405","33182","HMS Victory Guide","5.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR4","26405","33182","Driver","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR5-6","30013","36929","HMS Victory Guide","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR7-8","33223","43252","HMS Victory Guide","5.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR7-8","33223","43252","House Manager","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121821","OR9","38600","46753","HMS Victory Guide","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","E1","18370","22124","Personal Secretary","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF2","37916","45090","Release to Service Authority","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF4","67032","77617","Release to Service Authority","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF5","81310","89408","Release to Service Authority","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OR7-8","33223","43252","Release to Service Authority","4.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OR9","38600","46753","Release to Service Authority","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","B1","56436","72185","Deputy Head","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","B2","47942","59535","Historical","4.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","B2","47942","59535","Assistant Head","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","C1","35648","44268","Secretariat","4.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","C2","29258","36333","Secretariat","5.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","D","23427","29092","Secretariat","3.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","E1","18370","22124","Administrative Support","3.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","Fast Stream Grade Band C2","29258","36333","Secretariat","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF4 (RFA)","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OR5-6","30013","36929","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF3","47760","57200","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF4","67032","77617","Senior Staff Outer Office","12.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OF5","81310","89408","Senior Staff Outer Office","5.00","Military"
