MOD CRN,Name,Address,Town,County,Area (Ha),Grid Reference,Property Type,Expected Planning Use,Expected Number of Housing Units,Constituency,Financial Year
2001,RAF Brize Norton - RAF Bicester Airfield. ,Skimmingdish Lane,Bicester ,Oxfordshire,143.32,459805 224524,X,Mixed,0,Banbury,2012
2002,Sussex Volunteer Estate - St Leonards Cadet Centre (St Leonards TAC) (Part),Cinque Ports Way,St Leonards-on-Sea,East Sussex,0.04,578478 108703,B,Retail,0,HASTINGS,2013
2004,AUE Sites - AUE Sites,Various,Aldershot,Hampshire,11,Various,X,Mixed,235,Aldershot,2013
2005,Bordon (Phase 1),Bordon Garrison,Bordon,Hampshire,0,479160 135700,B,Mixed,3000,East Hampshire,2017
2267,Bordon (Phase 2),Bordon Garrison,Bordon,Hampshire,0,479160 135700,B,Mixed,0,East Hampshire,2021
2268,Bordon (Phase 3),Bordon Garrison,Bordon,Hampshire,0,479160 135700,B,Mixed,0,East Hampshire,2025
2006,Defence School of Languages - DSL Beaconsfield (DTR Wilton Park),Wilton Park,Beaconsfield,Buckinghamshire,34.89,495953 190340,X,Housing,330,SOUTH BUCKS,2013
2007,Princess Royal Barracks - Princess Royal Barracks Disposal (DTR Deepcut Barracks),Princess Royal Bks,Deepcut,Surrey,112,490662 157699,B,Housing,1200,Surrey Heath,2015
2008,Arborfield (Phase 1),Shearlands Rd,Arborfield,Berkshire,25,477240 165987,X,Mixed,3500,Wokingham,2016
2010,Arborfield (Phase 2),Reading Road,Arborfield,Berkshire,25,477224 163771 & 477115 163863,X,Mixed,0,Wokingham,2019
2012,Lodge Hill - Training Area,"Lodge Hill Training Area, Chattenden",Rochester,Kent,19.01,576414 173915,X,Mixed,267,Rochester & Strood,2017
2014,Lower Upnor Depot - RSME Chatham - Lower Upnor Depot,Lower Upnor,Rochester,Kent,3.89,575713 170795,B,Mixed,0,Rochester & Strood,2012
2015,Brompton Barracks - RSME Chatham Sportsground (Part - Amherst Hill),Amherst Hill,Chatham,Kent,2.67,576035 168460,L,Housing,34,Rochester & Strood,2012
2016,Kitchener Barracks - Kitchener Barracks (Dock Road),"Kitchener Barracks, Dock Road",Chatham,Kent,4.76,575897 168546,X,Housing,100,Rochester & Strood,2015
