"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF2","37916","45090","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR1-3","17515","28940","House Manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR4","26405","33182","Steward","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR5-6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF3","47760","57200","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR4","26405","33182","House Manager","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR5-6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR7-8","33223","43252","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","C2","29258","36333","Keeper and Curator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","D","23427","29092","Events & Visitor Services Management","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","E1","18370","22124","HMS Victory Guide","22.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OF2","37916","45090","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OF3","47760","57200","HMS Victory Guide","1.00","Military"
