MINISTERIAL INFORMATION 1 APRIL TO 30 JUN 2012,,,

"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,

Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Secretary of State for Defence, Rt Hon Philip Hammond",Apr-12,Selex,Industrial discussions
"Secretary of State for Defence, Rt Hon Philip Hammond",May-12,Daily Mail and Independent ,Defence discussions
"Secretary of State for Defence, Rt Hon Philip Hammond",May-12,Daily Telegraph,Defence discussions
"Secretary of State for Defence, Rt Hon Philip Hammond",May-12,Serco,Industrial discussions
"Minister of State Armed Forces, Nick Harvey MP",May-12,Chenega UK Ltd,Defence Issues
"Minister of State Armed Forces, Nick Harvey MP",Jun-12,Child Soldiers Organisation,Defence Issues
"Minister of State Armed Forces, Nick Harvey MP",Jun-12,Quaker Organisation,Defence Issues
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Apr-12,BAE Systems,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Apr-12,EADS,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Apr-12,Roke Manor Research Ltd,Company Visit
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Agusta Westland ,"Company Visit, (transport provide rail/ helicopter)"
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,QinetiQ,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Babcock,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,A|D|S,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,BAE Systems,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Lockheed Martin,Meet the Technologist Event
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Claverham Limited,Introductory Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Confederation of Shipbuilding and Engineering Union,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Lockheed Martin,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,Cumbria County Council,Introductory Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,MBDA,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",May-12,GE Aviation,Company Visit
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Jun-12,Jacobs Engineering,Routine Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Jun-12,"Institute for Manufacturing,  Cambridge University",Introductory Meeting
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",Jun-12,GA-ASI Aircraft Systems Group,Routine Meeting
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Apr-12,BLESMA,Central Advisory Committee on Pensions meeting
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",May-12,University of Portsmouth (Terence Lewis) & Oliver Colvile MP,Veterans’ Housing
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jun-12,Association Solidarité Défense,Veterans’ Issues
"Minister for International Security Strategy, Gerald Howarth MP",Apr-12,BAE Systems,Routine meeting
"Minister for International Security Strategy, Gerald Howarth MP",May-12,Selex Galilieo,Routine meeting
"Minister for International Security Strategy, Gerald Howarth MP",May-12,UK Force Protection,Routine meeting
"Minister for International Security Strategy, Gerald Howarth MP",May-12,Finmeccanica,Routine meeting
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",Apr-12,Selex Galileo,General Update 
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",Apr-12,Blenheim Capital ,General Discussion
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",May-12,Blenheim Capital ,General Discussion
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",Jun-12,Agusta Westland,General Discussion
