OTTERBURN TRAINING AREA MILITARY ACTIVITY FORECAST,,,

1 December to 15 December 2012 ,,,
"Listed below are the dates and times when OTTERBURN and/or REDESDALE Ranges are being used for live firing: OTTERBURN Ranges are the southern part of the ranges, REDESDALE are the northern part. ",,,

DATE,TIME,RANGE,ACTIVITY
Sat 1 Dec 12,1000 - 1600,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Sun 2 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Mon 3 Dec 12,1000 - 1600,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Tue 4 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Wed 5 Dec 12,1000 - 1600,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Thu 6 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Fri 7 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Sat 8 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Sun 9 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Mon 10 Dec 12,1000 - 1600,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Tue 11 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Wed 12 Dec 12,1000 - 1600,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Thu 13 Dec 12,1000 - 2200,Otterburn/Redesdale/Belshiel,"Aircraft, Artillery, & Infantry weapons"
Fri 14 Dec 12,,Non Firing,
Sat 15 Dec 12,,Non Firing,
